,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Duke,137.6,92.9,0.989,10–1,10,11,61,45.7,30.6,25.9,12,17.7,36.3,29,66.7,58.3,45.9,43.2,30.3,9.7,10.2,56.2,44.7,41.7,37.5,66.3,79.783,82.241,0.962,"2,025",0,0,80.841,,82,74.7,1.344,0.969,30.695,Duke
2,Auburn,132.1,97.7,0.97,8–3,8,11,55.8,49.1,39.4,44.2,12.3,16.9,31.7,32.8,70.7,55.4,52.2,37.6,29.1,14,8.9,54.1,46.7,40,36.4,68.3,78.414,81.041,2.562,"2,025",0,0,34.543,,75.3,75,1.217,1.087,53.2,Auburn
3,Alabama,132,98,0.969,6–4,6,10,59,50.4,36.7,36.9,16.9,12.4,31.9,28.7,76.4,59.1,51.2,39.2,32.7,7.9,13,51.4,47,43.4,36.5,75.7,78.083,82.601,1.834,"2,025",0,0,57.994,,74.9,69.3,1.204,1.111,59.083,Alabama
4,Houston,125.2,93.5,0.966,10–1,10,11,52.3,49.3,28.8,37.8,15.7,20.1,34.6,30.3,61.3,48.5,47.2,40.3,34.6,11.8,8.3,43.5,56.6,31.8,44.3,61.3,76.865,79.614,2.28,"2,025",0,0,75.75,,75.8,75.4,1.144,1.021,46.567,Houston
5,Florida,127.3,95.2,0.966,9–2,9,11,55.4,48.4,32.3,35.8,14.3,15.6,32.5,28.1,70.4,55.6,47.9,36.8,32.9,11.3,10.1,56.7,46.3,48,35.5,69.7,77.883,81.705,1.887,"2,025",0,0,28.9,,70.1,70.8,1.181,1.041,50.324,Florida
6,Texas Tech,128.1,97.2,0.96,8–3,8,11,54,48.9,29.3,35.3,13.3,15.6,30.1,27.7,65.9,51.6,49.8,37.5,31.3,8.2,9.6,59.1,43,50.4,30.4,66.7,76.402,79.854,1.985,"2,025",0,0,36.83,,78.8,71.3,1.181,1.035,47.614,Texas Tech
7,BYU,128.2,98.4,0.955,9–2,9,11,58,50.1,31.5,28.1,17.8,15.6,28.8,28.8,69.4,60.5,49.7,37,33.8,7.6,7.8,60.3,51.9,49.2,41.8,68.7,78.183,80.621,1.873,"2,025",0,0,36.432,,69.4,75.4,1.155,1.058,46.29,BYU
8,Clemson,120.6,92.6,0.954,9–1,9,10,53.8,47.7,26.1,24.6,15,19.6,34.4,31.5,63.6,54.3,47,35.3,32.7,12,9.4,53.3,43.2,36.3,36.6,64.3,77.867,81.69,2.503,"2,025",0,0,51.7,,74.5,62.7,1.158,0.97,28.763,Clemson
9,Tennessee,121,93.4,0.952,8–2,8,10,54.7,46.9,35.8,32.5,15.3,13.8,28.1,27.6,65.3,53.8,48.5,37.4,30,16.4,7.6,63.3,50,40,46.7,63.8,77.145,81.334,2.649,"2,025",0,0,51.77,,69.4,74.7,1.128,1.034,50.495,Tennessee
10,Missouri,134.3,104.1,0.949,5–6,5,11,57.5,54,39.8,43.2,14,17.9,34.4,34.1,69.8,58.4,55.5,37.5,34.2,6,11.6,48.2,48.2,42.7,37,68.8,78.297,81.606,2.183,"2,025",0,0,66.502,,74.2,76.2,1.234,1.146,50.062,Missouri
11,Gonzaga,122.9,95.8,0.946,7–2,7,9,55.8,45.8,29.6,29.3,13.2,17.7,31,27.9,68.9,59.8,45.1,31.4,31.3,7.7,7.4,63.9,46.4,31.3,39.1,69.3,77.317,80.86,2.521,"2,025",0,0,61.284,,80.4,69.9,1.201,0.961,30.307,Gonzaga
12,Wisconsin,123.8,96.8,0.944,7–3,7,10,52.5,50.8,29.6,22,13,13,28,24,67.4,55.7,48.5,32.8,36.2,5.9,13,50.7,54.5,48.1,39.6,67.1,78.105,81.769,2.219,"2,025",0,0,24.898,,81.1,68.9,1.152,1.051,39.67,Wisconsin
13,Michigan St.,115.3,91,0.938,8–3,8,11,49.7,46.2,33.6,35.7,16.4,15.3,34.1,23.5,67.7,50.1,51.9,32.6,25.8,11.7,7.9,56.1,49.2,33.6,43.3,66.6,78.065,81.937,1.758,"2,025",0,0,74.7,,73.9,75,1.082,0.985,49.357,Michigan St.
14,UCLA,120.1,94.9,0.938,6–3,6,9,53.3,49.5,27.8,29.4,14.7,20.4,31.7,30.6,64.4,52.3,51.5,36.7,31.3,11,8.3,67.5,53.9,36.5,43.7,64.3,78.111,81.382,1.851,"2,025",0,0,70.661,,70.6,85.2,1.122,1.034,41.508,UCLA
15,VCU,124.4,98.3,0.938,9–1,9,10,56.2,44.3,28.8,36.4,17,17.6,41.6,28.5,63.6,54.6,42.5,38.6,31.9,14.8,7.2,55.5,49.3,47.9,34.1,64.8,78.021,81.551,2.225,"2,025",0,0,34.211,,82.1,74.7,1.248,0.97,14.657,VCU
16,Maryland,114.2,90.4,0.936,7–2,7,9,51.3,46.2,38,24.4,16,17.1,29.6,24.2,71.5,49.6,47.5,36.4,29.1,10.7,7.5,45.6,49.1,34.7,32.3,70.5,77.505,80.934,1.637,"2,025",0,0,65.898,,76.7,82.2,1.088,0.968,36.545,Maryland
17,Arizona,124.5,98.7,0.935,6–5,6,11,50.7,50.4,38.9,29.1,16.6,13.5,37,27.5,70.7,53.5,49.5,30.3,34.5,13,7,59.7,55,34.9,40.4,71,78.036,80.826,1.92,"2,025",0,0,65.722,,83.3,73.8,1.137,1.093,53.846,Arizona
18,Saint Mary's,115.3,91.6,0.934,8–1,8,9,50.3,47.5,29.5,24.1,13.9,14.9,35.9,23.4,61.8,51.4,48.3,32.2,30.5,10.2,8.4,53.5,55.5,35.5,29.1,61.2,78.387,81.4,1.975,"2,025",0,0,48.761,,69.1,70.9,1.123,0.979,29.795,Saint Mary's
19,Texas A&M,117.5,94,0.929,6–4,6,10,46.6,50.3,41.9,36.6,19,18.5,39.7,27.8,66.4,46.8,46.3,30.8,36.5,12.5,16.7,48.7,64.1,37.3,47.6,66,77.369,79.76,2.761,"2,025",0,0,69.321,,72.1,80.1,1.065,1.049,50.558,Texas A&M
20,Kentucky,124.1,99.4,0.928,6–5,6,11,56,53.9,36.3,32.9,16.1,14.3,25.5,23.2,71.9,54.9,56.3,38.5,33.8,8.9,7.4,52.9,45.3,40,41.7,70.9,78.766,82.166,2.359,"2,025",0,0,46.39,,76.3,73.3,1.148,1.1,48.235,Kentucky
21,Georgia,120.7,96.7,0.928,5–5,5,10,51.4,50.9,38.4,34.1,16.8,15.7,32.6,33.1,68,51.5,50.7,34.1,34.1,15,9.1,43.4,54.6,36.4,42.8,66.8,78.779,81.864,1.396,"2,025",0,0,64.73,,72.1,69.5,1.095,1.1,51.103,Georgia
22,Louisville,116.9,93.8,0.926,9–1,9,10,57.9,46.6,32,24.2,17.4,18,26.8,28.3,69.6,58.8,47.6,37.8,30.2,6.8,6.7,48.9,42.3,42.4,42.2,70.1,77.95,81.12,2.555,"2,025",0,0,20.184,,77.5,67.6,1.15,0.963,17.636,Louisville
