rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Houston,B12,18-2,118.50599896893856,16,82.60909895045648,1,0.9844757072445829,1,27.77677501037622,3.223224989623774,14.776775010376227,3.223224989623774,5-2,0.6146508647440888,0.5120115955315752,0.8052666504244713,0.6979217670468115,0.5120115955315754,0.8321902242522596,0.6818988694971734,0.8267364409815366,108.8573545432087,102.4129403555063,110.5250263939927,100.36525650283664,119.53917486311174,84.44772054896862,122.22969531481777,90.0553183854351,0.9710552848854039,7,-0.03077608542450372,492.0,396.0,442.0375,1.1130277408590898,0.8958515963012187,0.849323407597216,0.7142857142857143,4.6750407012485535,3,240,63.763297316695585
2,Purdue,B10,18-2,126.91661277034406,1,92.54435101193516,7,0.9742237180409814,2,27.445526660388282,3.5544733396117243,16.445526660388275,3.5544733396117243,7-2,0.7287875972564724,0.6742012793260597,0.7955042080603101,0.7532041119694399,0.6742012793260592,0.796655669923299,0.6568238192232676,0.6788560469374265,112.70266588311615,101.17777794275686,112.86378909887057,100.30970170576651,129.23531020554276,94.91269815933384,132.4109056904196,103.03807578667535,0.947066422042443,9,0.027480632248816028,762.0,660.0,627.1625,1.2149961134474716,1.05235883841907,0.7975977750839264,0.7777777777777778,6.780191134405301,1,119,68.40843887022362
3,Auburn,SEC,16-4,120.17059037526164,11,92.35258578507116,6,0.9538202592861846,3,24.51972323388012,6.4802767661198795,13.51972323388012,4.48027676611988,5-2,0.6104259845151947,0.534864262773874,0.7507548963205046,0.6750712333517404,0.534864262773874,0.7763318232135327,0.7271933898165434,0.8407170021131332,107.7819739521401,102.74934016074292,110.06927598979263,101.66749733639745,114.60092388546602,87.6542484918049,107.32659421666561,90.9921141540046,0.8697433761986642,3,-0.07401997937205096,537.0,451.0,489.2625,1.0975703226795432,0.9217955596433408,0.7926080494181867,0.7142857142857143,2.1084776179589384,19,316,70.21758072461195
4,Arizona,P12,15-5,121.20571696628348,5,94.88263526238921,16,0.9435214471538981,4,24.02825852986243,6.971741470137571,15.028258529862425,4.971741470137571,6-3,0.688950378787246,0.6407411940291169,0.7478727157138481,0.705123666150109,0.6407411940291167,0.740534025816655,0.7047777427000436,0.6779166552327243,111.72150130352892,101.85338261321849,111.25123028588983,101.27082786743026,122.48753677050279,98.81131029119405,122.8683079747486,90.17313146825619,0.972290747757365,10,-0.03486846129233234,767.0,676.0,654.55,1.1717974180734856,1.0327706057596824,0.7345296431734968,0.6666666666666666,3.1237247117216214,10,253,73.19701812189132
5,Tennessee,SEC,15-4,117.62440768879897,19,92.0954059137466,5,0.9434128610231762,5,23.9752993298995,7.024700670100498,13.975299329899501,4.024700670100497,5-1,0.6743285720327367,0.6192664893442317,0.7936297511911642,0.7140615298053588,0.6192664893442318,0.7825246145828397,0.6650112760356053,0.6985098253597413,111.65502277917344,101.9805742973134,112.54111905972775,101.26925517753057,121.91153914989953,93.33264446301756,126.4907726570256,98.39241554927396,0.9472932334784788,8,0.0201694574183382,498.0,419.0,424.6375,1.1727650054458214,0.98672397044538,0.776972046278677,0.8333333333333334,3.8068317070405806,6,131,69.40348829296134
6,Alabama,SEC,14-6,126.55263863725236,2,99.55673885334893,63,0.9404309499831149,6,21.556555646229533,9.443444353770461,13.556555646229539,4.443444353770462,6-1,0.7039888449264782,0.6733443224601993,0.7609001009352817,0.7499435700593226,0.6733443224601997,0.8052652488809111,0.6456686330920973,0.7077771300729587,112.42675771859042,101.30540514071113,113.38936221140574,100.28397429190682,122.02045064963671,99.56185816653228,131.2202509169324,108.85161326363317,0.8955989974393554,9,-0.06382730891214938,586.0,525.0,506.82499999999993,1.1562176293592465,1.0358605041187787,0.8334976157554025,0.8571428571428571,2.165182892714074,18,297,72.29152338144719
7,Iowa St.,B12,16-4,115.68025685568611,37,91.26741783064381,3,0.9385386449594691,7,23.23116884900699,7.768831150993007,12.231168849006991,5.768831150993009,5-2,0.5379338392989671,0.3713968404758527,0.8472168371133222,0.6461117838070265,0.3713968404758527,0.8445170206573185,0.6934396320537505,0.9005703131686733,106.15610022420609,103.58502682759675,108.96864276080767,101.03759128314047,115.94815911196342,90.30989705556387,114.92636960970385,94.23535756748163,0.9074346209248968,6,-0.026509577475706037,488.0,467.0,469.8375,1.0386569824673424,0.9939606778939527,0.8427989556398618,0.7142857142857143,2.0309956722958717,20,236,69.26915899675079
8,Connecticut,BE,17-2,123.18590233935008,3,97.261557617242,36,0.9380423581342363,8,25.879872279304173,5.120127720695826,15.879872279304173,4.120127720695826,7-1,0.5738408455042829,0.45880013956223215,0.7320218161746027,0.6531910367965007,0.45880013956223215,0.7601060302753483,0.6955998267009724,0.7784640289793497,107.22435576260884,104.13554981212434,109.03939995633858,102.02243949934476,120.48573269265411,97.63694063780524,124.0715634653158,96.47281543718155,0.9475176427244748,10,0.09798102469244685,590.0,532.0,511.7375,1.1529348542954152,1.0395954957375608,0.7788288396758453,0.875,4.8253647915305455,2,30,64.93193906234072
9,BYU,B12,15-5,121.19626451998263,6,95.95547566178293,26,0.936169181199772,9,22.96374973491359,8.036250265086407,10.963749734913593,7.036250265086407,3-4,0.57656548576076,0.41246955971493815,0.881315062703001,0.6544343415988046,0.41246955971493815,0.829186684070486,0.7092420561619028,0.878381220659445,107.61041144610076,103.18391498879821,108.78338530595612,101.02078556892958,121.818088696255,97.47789502071517,127.29450780016941,102.5993457697374,0.9227438928442964,7,-0.05851862266846619,512.0,514.0,477.4625,1.0723355237322303,1.0765243343718094,0.7960140794861583,0.42857142857142855,1.5705953796832084,30,292,68.96966046971802
10,North Carolina,ACC,17-3,117.37002086750161,22,93.03447159204808,9,0.9353635289073825,10,25.454515921352186,5.545484078647811,17.454515921352186,2.545484078647812,9-0,0.6686587046057002,0.6130361140745992,0.7366418708103794,0.7061651319410556,0.6130361140745995,0.7573860917676065,0.7086346716934573,0.7408247182280939,109.77355807729876,101.67606680361418,110.41609825218147,100.81283593876967,112.56139444588666,87.18708363747022,126.22982204390804,100.50164951839093,0.9322133245595519,7,0.0552378568490115,705.0,571.0,640.6625,1.1004233898503502,0.8912649015667375,0.7743586361871558,1.0,4.5799790790956925,4,79,70.96494050642833
