,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,TO%_scaled,FTR Def_scaled,3pD%_scaled,2p%_scaled,Adj_OtoD_Margin_scaled,gilgo_score_v2,projected_points
1,Auburn,135.0388424,94.21973491,13.5,35.6,30.5,58.9,40.81910744,18.63005554,1/24/25,0.984251969,0.513089005,0.68707483,0.820408163,1,0.896733924,
2,Duke,123.9679123,88.65162547,15.1,25.3,31,58.4,35.31628685,15.91258498,1/24/25,0.858267717,0.782722513,0.653061224,0.8,0.930477314,0.869111051,
0,Houston,122.9280512,83.9754549,14,33.4,29.8,48.9,38.95259627,17.36918373,1/24/25,0.94488189,0.570680628,0.734693878,0.412244898,0.976418481,0.860111952,
3,Iowa St.,122.204112,92.71104981,14.5,25.5,32.8,57.4,29.49306221,12.26851795,1/24/25,0.905511811,0.777486911,0.530612245,0.759183673,0.856906641,0.820928692,
6,Florida,124.1580553,94.70457105,15.3,30,28.1,55.5,29.45348421,12.00822537,1/24/25,0.842519685,0.659685864,0.850340136,0.681632653,0.856406612,0.81603038,
5,Tennessee,117.7260133,89.52015458,16.9,24.9,25.9,54.3,28.20585877,11.59522385,1/24/25,0.716535433,0.793193717,1,0.632653061,0.840644101,0.81404835,
7,Illinois,119.4091465,91.19605547,15.8,27.8,27.8,55.8,28.213091,11.40628551,1/24/25,0.803149606,0.717277487,0.870748299,0.693877551,0.840735473,0.811169026,
4,Alabama,127.7433108,97.01855011,16.7,31.6,30,61.2,30.72476069,12.41790402,1/24/25,0.732283465,0.617801047,0.721088435,0.914285714,0.872467931,0.809150451,
15,Kentucky,126.8085058,101.5170131,13.6,31.4,28.7,57.1,25.29149269,9.624110542,1/24/25,0.976377953,0.623036649,0.80952381,0.746938776,0.803823973,0.802678741,
18,Gonzaga,123.6454232,99.77007991,14,28.1,30.3,57.1,23.87534326,8.873609388,1/24/25,0.94488189,0.709424084,0.700680272,0.746938776,0.785932328,0.790278977,
13,Maryland,119.3914669,94.38846932,14.7,26.5,31,56,25.00299755,9.504478508,1/24/25,0.88976378,0.751308901,0.653061224,0.702040816,0.800179123,0.788624579,
10,Kansas,114.9849247,90.1313818,15.8,28,28.6,55.3,24.85354293,9.259261186,1/24/25,0.803149606,0.712041885,0.816326531,0.673469388,0.798290911,0.780512685,
19,Marquette,117.6794002,95.07256288,13.4,29.1,30.3,55.1,22.6068373,8.04712075,1/24/25,0.992125984,0.683246073,0.700680272,0.665306122,0.769906012,0.779113164,
16,Wisconsin,124.5309619,99.97294174,15.1,30.2,31.1,57.2,24.55802016,8.847892299,1/24/25,0.858267717,0.654450262,0.646258503,0.751020408,0.794557274,0.770988447,
8,Arizona,122.0349662,95.39168138,16.1,30,31.8,56.6,26.64328485,9.896603757,1/24/25,0.779527559,0.659685864,0.598639456,0.726530612,0.820902527,0.769351036,
12,Purdue,122.2303985,96.47985275,16.6,26.8,31.1,55.4,25.75054571,9.587232885,1/24/25,0.74015748,0.743455497,0.646258503,0.67755102,0.809623653,0.768287571,
11,Texas Tech,124.6665123,97.96818363,15.7,31.9,31.9,56.2,26.69832869,9.799730504,1/24/25,0.811023622,0.609947644,0.591836735,0.710204082,0.821597952,0.766318794,
14,Michigan St.,119.7713322,95.00233943,16.9,31.8,28.9,56.2,24.76899274,8.670585568,1/24/25,0.716535433,0.612565445,0.795918367,0.710204082,0.797222704,0.754918519,
9,Michigan,122.1339867,95.59418118,20.2,29.5,29.7,60.8,26.53980551,9.485431361,1/24/25,0.456692913,0.672774869,0.741496599,0.897959184,0.819595168,0.745310787,
32,Creighton,114.677222,95.75967374,18.7,17,30.3,59.5,18.9175483,6.16960446,1/24/25,0.57480315,1,0.700680272,0.844897959,0.723295501,0.743696187,
25,Saint Mary's,116.9404646,95.59971787,14.7,26.3,32,51,21.34074672,7.0592055,1/24/25,0.88976378,0.756544503,0.585034014,0.497959184,0.753910212,0.743204037,
22,Mississippi,114.4084782,93.05126003,13.4,35.7,29.3,51.5,21.35721816,6.63975308,1/24/25,0.992125984,0.510471204,0.768707483,0.518367347,0.754118312,0.742809905,
23,Missouri,121.0897316,98.54618385,15.5,30.3,33.8,56.5,22.54354776,7.305514131,1/24/25,0.826771654,0.651832461,0.462585034,0.72244898,0.769106411,0.734722854,
20,Louisville,120.2423518,97.67536705,16,28.3,34.9,56.6,22.56698472,7.337810678,1/24/25,0.787401575,0.704188482,0.387755102,0.726530612,0.769402514,0.730091723,
26,West Virginia,113.458245,92.95904769,15.9,31.1,28.2,51.1,20.49919734,6.20246038,1/24/25,0.795275591,0.630890052,0.843537415,0.502040816,0.743278069,0.727601395,
21,Mississippi St.,120.8650927,98.19733725,14.5,34.2,35,55.6,22.6677555,7.061630854,1/24/25,0.905511811,0.54973822,0.380952381,0.685714286,0.770675653,0.725054053,
41,Cincinnati,107.0260612,91.89294687,15.2,25.9,28,53.8,15.13311433,3.629949743,1/24/25,0.850393701,0.767015707,0.857142857,0.612244898,0.675482927,0.723724937,
30,Oregon,117.2398247,97.36576462,16.5,27.1,31,54.2,19.87406008,5.963326651,1/24/25,0.748031496,0.735602094,0.653061224,0.628571429,0.73538008,0.72324454,
33,Texas,115.7913844,96.70667124,14.2,33.2,31.6,54.5,19.08471312,5.258875005,1/24/25,0.929133858,0.57591623,0.612244898,0.640816327,0.725407463,0.721558177,
62,Iowa,120.5167198,106.7522202,14.1,25.4,33.3,59.1,13.76449963,2.761644777,1/24/25,0.937007874,0.780104712,0.496598639,0.828571429,0.658191837,0.714862032,
37,North Carolina,113.7078623,96.76481278,15,30.1,31.4,55.1,16.94304956,4.141910232,1/24/25,0.866141732,0.657068063,0.62585034,0.665306122,0.698349666,0.710038873,
35,Clemson,118.2065912,98.97712056,15.9,27.6,32.7,51.8,19.22947065,5.416177099,1/24/25,0.795275591,0.722513089,0.537414966,0.530612245,0.727236331,0.707878803,
24,St. John's,112.7167882,91.89795768,15.8,30.2,33.8,52.3,20.81883056,6.086386643,1/24/25,0.803149606,0.654450262,0.462585034,0.551020408,0.747316318,0.707099508,
28,BYU,119.9480144,99.15895991,17.3,31.8,34.9,58.6,20.78905454,5.767623267,1/24/25,0.68503937,0.612565445,0.387755102,0.808163265,0.746940128,0.695737123,
