TeamName,eFG%,Rk,eFG% Def,Rk,FTR,Rk,FTR Def,Rk,OR%,Rk,DR%,Rk,TO%,Rk,TO% Def.,Rk,3P%,rk,3pD%,rk,2p%,rk,2p%D,rk,ft%,rk,ft%D,rk,3P rate,rk,3P rate D,rk,arate,rk,arateD,rk
Appalachian St.,52.300000000000004,101,44.4,6,28.499999999999996,289,21.3,6,28.7,193,27.3,97,15.4,59,15.7,282,30.1,320,30.9,47,56.0,23,43.3,9,66.6,315,69.9,101,34.5,257,35.5,114,51.2,146,44.2,41,15.0,12,4.9,1
San Francisco,55.7,23,47.4,59,23.3,355,35.6,251,32.4,79,24.4,22,18.0,215,21.3,28,34.4,139,32.2,100,58.3,9,46.8,55,77.4,21,70.0,103,39.1,135,38.7,236,52.5,124,47.2,94,11.9,59,5.3,2
Northern Illinois,51.9,118,53.900000000000006,323,36.8,87,33.2,195,24.9,311,32.5,300,18.099999999999998,221,13.3,355,35.9,78,36.7,324,50.6,166,53.4,292,68.1,290,69.1,72,39.6,120,33.0,50,40.9,344,48.6,132,11.5,73,5.7,3
Long Beach St.,50.9,151,52.0,254,37.8,63,35.199999999999996,241,32.800000000000004,71,31.0,251,18.4,246,19.2,77,32.3,237,34.4,225,51.9,116,52.3,257,67.5,303,68.0,39,27.4,348,46.3,353,52.5,125,60.7,348,11.3,82,5.7,4
Grand Canyon,53.7,57,46.800000000000004,46,47.0,4,34.9,234,35.3,27,27.500000000000004,102,18.6,254,19.6,63,33.9,160,32.8,139,55.2,33,45.7,41,73.2,112,70.2,114,35.2,237,32.9,49,42.7,325,47.9,115,13.6,22,5.8,5
Bradley,56.10000000000001,21,47.8,68,28.599999999999998,286,34.4,221,29.299999999999997,175,29.599999999999998,192,18.5,250,19.5,66,38.1,20,32.5,121,55.3,32,47.1,63,70.1,231,70.4,133,41.5,84,37.7,197,49.7,192,48.8,135,11.0,92,5.8,6
Pepperdine,49.5,217,54.800000000000004,344,30.7,233,36.199999999999996,265,30.3,135,25.3,38,16.900000000000002,143,17.9,144,34.6,136,38.3,355,48.4,245,53.5,296,67.1,310,73.4,276,31.2,315,30.9,23,50.3,169,51.0,193,7.6,257,5.8,7
UCLA,45.7,326,48.4,91,37.3,76,36.1,262,29.9,148,28.999999999999996,171,18.3,235,19.0,85,30.0,322,32.6,128,46.0,317,48.0,89,71.9,170,71.5,191,28.2,341,45.0,348,50.0,179,47.6,104,11.9,60,5.9,8
Purdue,56.599999999999994,14,46.6,42,40.0,31,23.0,12,37.0,15,24.0,15,16.3,114,14.7,321,40.6,4,30.9,42,54.1,51,46.7,54,72.3,159,69.5,87,36.7,206,39.4,254,64.2,6,57.1,321,10.9,98,6.0,9
Eastern Kentucky,48.199999999999996,262,50.7,188,30.2,244,28.9,87,31.8,93,29.7,195,16.7,139,14.2,329,33.8,172,40.0,362,46.8,302,45.2,28,66.8,313,70.9,165,35.5,231,36.9,165,46.8,263,51.4,201,14.7,16,6.1,10
Delaware St.,44.4,346,52.6,285,35.4,123,36.1,263,33.1,64,27.700000000000003,113,21.6,347,21.7,22,27.0,353,37.1,340,45.7,326,50.4,185,71.4,191,69.6,92,23.5,362,40.3,277,46.6,267,55.2,295,5.6,336,6.1,11
BYU,56.699999999999996,11,45.5,18,20.9,360,29.4,98,34.9,30,23.3,8,15.6,73,17.4,170,36.3,60,29.4,18,59.1,5,46.2,49,72.8,133,69.5,86,51.9,2,33.5,63,65.9,3,47.8,109,6.9,291,6.2,12
New Mexico St.,47.3,287,51.1,211,36.7,89,53.6,362,26.0,288,28.199999999999996,139,19.900000000000002,311,17.9,148,32.1,243,35.2,263,46.8,299,49.7,150,72.4,152,70.1,110,35.3,232,44.8,345,51.6,141,61.2,353,8.0,232,6.3,13
Drake,55.50000000000001,24,50.1,161,28.9,276,30.599999999999998,125,25.4,299,23.3,9,14.099999999999998,16,19.400000000000002,68,34.2,151,33.3,161,58.3,10,50.2,169,74.8,67,68.5,52,40.1,107,39.6,258,56.1,65,42.1,17,5.9,329,6.3,14
Houston,50.3,183,40.9,1,29.9,253,40.0,314,39.900000000000006,6,28.599999999999998,156,14.2,20,25.900000000000002,3,35.4,99,28.0,5,48.7,233,40.0,1,67.5,302,63.6,3,35.9,222,43.5,334,49.9,185,65.3,362,19.6,1,6.4,15
Santa Clara,53.5,62,48.199999999999996,82,29.9,254,32.0,168,32.0,86,27.900000000000002,122,18.8,263,15.0,315,35.9,76,32.7,131,53.3,72,47.6,74,70.0,238,70.3,122,39.3,129,39.1,246,54.5,83,50.0,165,7.4,266,6.4,16
Western Michigan,50.4,177,51.0,205,32.300000000000004,195,31.4,155,34.300000000000004,42,30.9,247,20.0,320,15.7,287,34.6,138,35.1,254,49.5,212,49.9,159,61.0,360,69.7,96,36.7,207,39.8,263,49.7,193,53.0,244,6.9,293,6.4,17
Arkansas,49.9,199,48.699999999999996,97,45.7,7,34.699999999999996,228,25.4,301,29.9,207,16.1,105,14.399999999999999,327,32.3,239,33.7,187,50.6,163,47.7,77,71.7,177,70.6,148,34.0,270,35.6,120,45.2,296,48.1,122,16.1,4,6.5,18
Nevada,52.400000000000006,98,46.800000000000004,47,45.2,9,33.7,206,26.5,271,28.299999999999997,148,14.000000000000002,14,18.3,117,33.9,161,31.2,57,53.0,83,46.8,57,71.7,176,67.2,25,31.6,307,42.2,317,53.2,109,53.6,259,13.0,36,6.5,19
Florida St.,49.4,221,50.4,176,37.5,70,42.9,337,28.799999999999997,192,30.5,233,16.3,119,21.099999999999998,32,32.7,218,32.9,142,49.6,207,51.1,209,69.5,258,66.5,18,31.9,302,39.8,264,47.9,236,46.6,79,11.6,67,6.5,20
Cal St. Bakersfield,46.6,305,50.9,201,29.099999999999998,272,40.699999999999996,323,34.0,49,34.300000000000004,336,17.599999999999998,193,18.2,125,30.1,318,35.7,292,47.0,298,49.2,125,67.8,294,70.7,154,23.9,361,37.8,201,39.8,351,50.8,188,10.4,123,6.5,21
Stony Brook,48.199999999999996,263,52.7,288,28.7,284,25.6,27,28.9,187,29.4,187,16.400000000000002,125,17.0,202,32.1,244,37.0,334,48.3,250,50.7,192,71.4,192,71.6,197,37.2,186,43.3,333,43.8,312,59.0,337,9.5,163,6.5,22
Florida Atlantic,56.10000000000001,20,49.6,136,33.1,173,26.400000000000002,37,34.300000000000004,41,29.9,206,16.1,104,17.599999999999998,158,36.9,44,34.2,207,56.6,17,48.7,106,70.0,239,70.9,163,39.2,132,36.4,143,51.2,147,40.5,7,7.3,270,6.5,23
Ohio St.,51.1,145,47.8,70,32.300000000000004,194,25.3,24,34.4,38,27.800000000000004,118,15.6,76,16.1,261,34.3,147,34.8,240,50.9,148,45.6,40,75.1,57,67.6,31,37.3,179,34.7,91,53.2,106,43.2,24,11.6,66,6.6,24
Marist,50.2,185,47.4,62,29.799999999999997,258,39.0,306,22.900000000000002,334,26.3,65,18.5,249,22.6,10,32.8,208,32.0,90,50.8,152,47.0,62,63.7,348,68.2,44,36.9,195,40.2,275,48.4,226,43.7,34,10.5,112,6.6,25
Wright St.,58.5,2,56.49999999999999,357,29.599999999999998,265,30.599999999999998,124,28.000000000000004,218,28.4,150,15.9,91,16.2,258,38.0,21,38.1,350,59.0,7,56.1,347,75.9,43,71.1,169,27.4,349,39.8,265,49.1,209,48.2,126,7.3,271,6.6,26
Utah St.,53.900000000000006,45,49.2,126,38.4,49,31.1,140,31.7,96,23.5,12,15.8,83,17.7,153,30.4,305,28.1,7,57.7,11,53.2,282,71.4,195,70.8,159,31.3,311,36.3,138,56.6,58,48.6,131,12.2,48,6.7,27
UC Santa Barbara,55.2,26,49.0,116,39.0,41,30.5,122,27.1,247,25.2,36,20.1,321,13.700000000000001,343,38.7,14,31.6,73,53.9,57,49.8,153,72.7,136,66.6,19,31.1,316,33.6,66,53.4,102,47.9,112,9.1,178,6.7,28
North Dakota,48.3,259,52.5,278,35.199999999999996,128,32.1,172,31.4,111,28.499999999999996,153,15.8,84,15.299999999999999,302,30.3,312,35.9,306,50.4,173,51.9,243,68.6,282,75.1,330,43.2,47,33.6,65,45.0,298,43.9,39,6.4,306,6.7,29
Valparaiso,46.0,318,51.4,222,27.1,312,30.9,133,28.000000000000004,219,31.900000000000002,287,17.1,154,17.299999999999997,176,31.6,264,34.6,232,45.2,333,51.2,217,73.1,118,67.4,28,34.8,249,35.3,108,49.3,205,54.4,279,9.7,153,6.8,30
Longwood,48.0,274,48.9,114,39.300000000000004,38,34.1,214,37.7,9,25.900000000000002,54,18.7,256,19.900000000000002,56,31.0,285,33.4,172,48.6,237,48.3,100,67.6,301,67.8,36,27.2,350,36.3,139,47.1,257,46.5,75,7.8,238,6.8,31
Clemson,55.1,30,49.9,148,29.099999999999998,271,31.3,150,30.5,126,24.3,20,15.1,47,13.900000000000002,335,36.0,73,34.6,227,55.8,26,48.4,101,77.1,26,72.9,258,38.8,141,41.5,304,54.1,91,45.9,59,13.2,29,6.9,32
VCU,53.2,73,45.300000000000004,16,37.4,72,35.9,257,30.3,134,27.500000000000004,103,18.9,267,15.7,286,36.0,72,29.6,21,52.6,94,45.7,42,77.3,25,73.7,283,42.6,58,34.3,81,57.2,48,42.8,20,13.1,31,6.9,33
Central Michigan,48.199999999999996,261,51.0,207,25.7,343,31.3,152,27.400000000000002,236,28.599999999999998,158,18.3,233,17.4,172,31.9,252,32.1,97,48.4,244,52.9,277,67.2,309,77.4,360,34.3,264,40.4,280,47.9,237,53.3,251,9.3,168,6.9,34
Auburn,53.400000000000006,66,43.2,3,37.6,67,36.6,272,34.5,37,29.2,180,14.7,37,19.900000000000002,53,33.1,197,29.6,22,55.7,27,42.5,3,76.3,35,74.3,308,38.5,151,36.1,132,62.5,10,44.5,43,15.6,5,7.0,35
Virginia,50.0,191,45.800000000000004,22,27.3,310,23.9,15,26.400000000000002,274,28.1,134,13.700000000000001,9,21.6,23,35.7,85,31.5,70,48.3,247,44.8,24,64.8,340,72.2,226,32.5,292,40.6,286,63.7,7,53.0,240,15.5,7,7.0,36
Michigan St.,53.1,75,45.9,23,31.7,203,30.9,131,30.0,145,28.499999999999996,154,15.1,51,19.1,79,36.2,63,30.8,38,52.6,96,45.6,38,70.0,236,72.8,254,31.9,303,42.2,316,63.1,9,55.5,300,13.1,33,7.0,37
Drexel,50.9,153,45.9,25,30.4,239,27.1,52,36.5,21,25.1,32,17.4,172,13.600000000000001,347,33.1,203,30.9,44,51.5,130,45.6,39,73.3,109,72.1,220,32.0,300,37.1,176,45.3,294,47.9,114,11.2,83,7.0,38
Bethune Cookman,46.2,313,52.300000000000004,269,38.9,43,50.8,358,31.900000000000002,91,33.0,312,21.099999999999998,339,22.400000000000002,14,28.8,339,37.1,339,47.4,287,50.3,177,73.0,121,73.2,268,28.3,339,38.6,234,46.3,276,62.5,358,8.2,219,7.0,39
Montana St.,52.7,85,52.900000000000006,292,31.6,207,40.300000000000004,317,19.2,355,27.500000000000004,104,17.4,175,18.0,138,32.8,212,31.9,81,55.3,31,55.4,337,74.6,71,70.5,139,42.1,63,33.5,64,47.4,248,48.0,120,5.1,348,7.0,40
Washington St.,53.1,76,45.5,19,33.4,167,33.0,190,31.1,118,25.1,33,15.5,64,15.9,266,34.4,143,32.0,89,53.8,58,44.2,20,68.8,277,75.8,345,31.7,306,32.8,44,45.7,285,45.6,55,13.6,21,7.1,41
Eastern Michigan,48.4,254,54.900000000000006,346,28.7,285,33.1,193,25.3,305,29.7,202,17.1,152,16.1,263,30.7,295,35.6,287,49.4,215,55.9,344,68.9,276,68.7,62,31.7,304,39.4,256,42.0,330,49.8,162,5.4,341,7.1,42
Morehead St.,53.2,71,47.4,60,31.4,210,37.5,284,33.900000000000006,51,27.400000000000002,99,19.400000000000002,292,15.6,292,33.5,186,31.5,72,55.6,28,47.5,70,71.5,184,73.2,270,44.0,39,32.9,45,48.9,212,43.0,22,12.1,51,7.2,43
