TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Marshall,52.6,47.7,26.2,28,31.7,32.6,15.5,20.1,33.6,31.9,53.9,47.7,69.8,63.9,36.9,34,57,46.1
Kentucky,51.2,48.8,32.5,29.9,38.7,25.5,17.3,16.8,35.4,33.1,50.4,48.3,70.3,74.4,30.1,35.2,55.7,47.8
Pepperdine,52,52.5,26.8,32.6,25.9,30.5,18.3,16.6,35.1,36.2,51.6,51.6,71.5,70.1,36,33.5,50.2,46.9
Montana St.,50.9,49.4,44.4,35.5,25.7,25.5,17.6,20.1,32,34.8,52.4,48,76.3,74,33.3,34.2,49.6,39.1
Gonzaga,58.5,51.7,34.2,26.7,31.1,26,14.6,18.8,38.4,35,59,51.2,70.2,73.5,32.8,39.4,50.7,45.3
New Orleans,52.7,54.1,36.5,39.9,29.8,32.7,23.6,20.2,37.9,36.2,51.1,54.1,70.8,74.5,29,36.4,55.2,49.3
Youngstown St.,55.1,51.7,29.6,26.4,30.8,28.6,15.7,18,36.5,34.5,55.2,51.7,77.8,70.6,34.6,33.8,50,48.5
Portland,53.8,54.5,43.3,27.7,24.1,30.2,18,16.9,37.4,37.4,51.8,53.2,74.5,67.9,45.4,43.8,57.1,49.3
Cal St. Bakersfield,44.6,51.1,29.4,43.6,27.2,28.4,19.8,20.5,31.5,34.9,43.7,50.2,75.7,71.8,24.6,42,47.1,53.9
East Tennessee St.,50.5,50.8,31.2,26.9,29.9,28.9,19.5,17.5,32.1,32.9,51.8,51.8,67,73.4,34.9,43.1,47,51.1
Eastern Washington,56.5,49.9,32.1,29.6,28.1,25.9,19.9,15.9,35.7,32.5,58.8,50.7,75.3,75.7,43.9,43.6,55.7,49.4
UC Santa Barbara,54.2,49.8,34.9,29.2,26.6,26.1,16.8,18.7,35.1,34.5,54.8,48.9,73.7,75.2,29.1,31.1,52.9,48.5
Mercer,48.9,48.8,28.6,35.9,30.4,27.6,18.2,17.4,32.7,33,48.8,48.4,69.1,72.6,30.5,34,47,45.5
Portland St.,49.6,55,34.8,46.6,24,31.4,16.8,21.3,33,36.8,49.7,55,73.2,74.1,36.1,33.5,50,54.2
UCLA,50.9,46.8,27.1,27.6,33.7,27.6,15.3,23.6,34.7,31.1,50.4,46.8,72.2,69.7,29.1,39.3,50.9,51.3
West Virginia,51.7,50.7,39.7,38.5,33.7,29.3,18.5,20.9,34.8,34.1,51.3,50.5,74.1,72.7,36.3,35,50.5,50.3
Western Kentucky,49.6,50.7,32.3,25.6,25.9,31,17.1,18,34.4,36.2,48.5,48,70.8,69.5,36.2,42.1,48.8,51.7
North Carolina St.,51.8,49.8,25.3,34,30.7,26.6,13.6,19.1,34.9,32.2,51.5,50.6,72,73.4,37.6,33.5,45,44.9
Wright St.,53.5,50.3,24,27.6,26.2,26.6,17.3,17.2,35.1,32.6,53.9,51.2,74.5,67.5,28.2,37.8,48.1,41.1
