rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Houston,Amer,31-3,118.2601389,12,89.9702306,4,0.958679223,1,31.95501693,3.044983068,17,1,17-1,0.616414045,0.537336482,0.654527002,0.613721429,0.537336482,0.654527002,0.768127525,0.784425446,107.5041271,101.9432961,107.3786866,101.9540882,122.0100743,94.50598189,123.4652308,92.8248284,0.963747552,10,0.035107681,1392,1104,1164.8625,1.194990825,0.947751344,0,0.944444444,8.395557536,5,106
2,Alabama,SEC,29-5,116.9808407,15,89.39301809,3,0.956608358,2,29,5,16,2,16-2,0.740135439,0.702062726,0.751423079,0.740135439,0.702062726,0.751423079,0.661332713,0.66162267,110.6057593,98.79820013,110.6057593,98.79820013,117.9721478,87.72154048,117.8749924,94.47524246,0.927223322,17,0.051722758,1495,1198,1321.825,1.131012048,0.906322698,0,0.888888889,10.55122832,1,70
3,UCLA,P12,29-5,113.6021385,33,88.53085234,2,0.946218252,3,29.9486334,5.051366603,18,2,18-2,0.687179148,0.531127039,0.74890328,0.681484846,0.531127039,0.74890328,0.724025825,0.805413244,109.1295258,100.2867335,108.9437592,100.3660092,112.2490967,87.57400459,121.8877393,96.79475462,0.934062617,14,0.034991915,1400,1186,1311.55,1.067439289,0.904273569,0,0.9,8.439188757,4,107
4,Tennessee,SEC,23-10,112.3860252,47,88.22024472,1,0.941815259,4,23.85309335,10.14690665,11,7,7-Nov,0.67714717,0.568078793,0.750441862,0.678877183,0.568078793,0.750441862,0.715705104,0.761803052,108.9444501,100.4251614,109.0470927,100.4963503,112.4150792,88.73464638,116.8821635,92.01946217,0.93993656,13,-0.104782507,1250,1077,1163.4125,1.074425451,0.925724969,0,0.611111111,3.124925084,25,351
5,Connecticut,BE,25-8,119.8132093,6,94.12838348,20,0.941290737,5,25.81812018,8.181879818,13,7,13-7,0.664885165,0.50287966,0.734645671,0.668297731,0.50287966,0.734645671,0.716467749,0.787490365,108.1275058,100.5735395,108.1824911,100.5121926,117.1579992,95.00227355,124.3265089,97.44338676,0.942776054,13,-0.04355409,1513,1367,1355.65,1.116069782,1.008372367,0,0.65,4.968453037,14,276
6,Purdue,B10,29-5,119.4948535,7,94.24751296,21,0.938745779,6,29,5,15,5,15-5,0.705649563,0.544206687,0.77585287,0.705649563,0.544206687,0.77585287,0.704254114,0.780309082,109.8341328,100.4303165,109.8341328,100.4303165,118.1841359,93.92885531,130.6856884,102.6774149,0.941245363,15,0.062390835,1418,1282,1274.25,1.112811458,1.006082009,0,0.75,9.178229164,3,51
7,Gonzaga,WCC,28-5,125.1995402,1,99.67403348,80,0.932266718,7,28.8896354,5.110364602,14,2,14-2,0.643860181,0.612710442,0.652126386,0.643471733,0.612710442,0.652126386,0.737805324,0.718299411,110.1029843,101.8384336,110.1595014,101.9911548,125.7777308,101.3709175,137.1138062,105.5060566,0.953180014,10,0.056000898,1431,1216,1153.7125,1.240343673,1.053988754,0,0.875,7.074018953,9,62
8,Texas,B12,26-8,115.8607666,19,92.37752761,10,0.931170667,8,26.87415069,8.125849305,12,6,6-Dec,0.736581384,0.520880667,0.868233794,0.734414816,0.520880667,0.868233794,0.653186612,0.802626204,110.5153694,98.93543665,110.57331,99.14313132,115.8942728,94.64369284,125.297002,99.66640961,0.932884704,22,0.045401131,1368,1301,1281.25,1.067707317,1.015414634,0,0.666666667,8.029435827,6,81
9,Saint Mary's,WCC,26-7,113.1729235,37,90.59874751,5,0.928141174,9,26.76136926,7.238630744,14,2,14-2,0.64084177,0.603108061,0.650100159,0.645579091,0.603108061,0.650100159,0.767798941,0.800997636,110.380497,102.6698756,110.2523155,102.4070771,114.9349252,89.98831287,115.2855987,101.5116341,0.812029203,5,-0.029139205,1183,970,1026.0375,1.152979301,0.94538455,0,0.875,3.916581907,21,244
10,Arizona,P12,28-6,120.4495386,4,96.53639568,40,0.927241901,10,28.87142178,6.128578218,14,6,14-6,0.681288976,0.591682209,0.708322396,0.680475755,0.591682209,0.708322396,0.71732409,0.758877615,107.3553502,98.66565014,107.397523,98.78995695,116.497806,96.48612486,121.7341255,95.82446021,0.940037251,13,0.055848773,1551,1419,1423.55,1.089529697,0.996803765,0,0.7,7.509067909,7,64
