,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
1,Purdue,125.92591182808384,92.825570790104,16.900000000000002,23.3,30.7,54.5,33.100341037979845,14.352458033167704,2024-01-10
0,Houston,116.1268816691877,82.82881547310028,14.8,39.2,26.1,49.7,33.29806619608742,13.563220379613327,2024-01-10
2,Arizona,121.31968531702316,90.10935828590942,16.400000000000002,24.2,33.4,56.1,31.210327031113735,13.031399488979375,2024-01-10
3,Alabama,127.72004796205368,98.01071539704796,16.3,34.5,30.7,58.3,29.709332565005724,11.451542864653492,2024-01-10
4,Auburn,118.55489285423371,91.63768921681137,14.3,36.0,29.0,55.4,26.917203637422347,9.993094218827629,2024-01-10
8,Creighton,119.0415225418168,95.30645668686245,16.5,14.3,30.7,62.2,23.735065854954357,9.779340171522158,2024-01-10
6,BYU,116.60331407834228,93.16484636943083,14.9,26.0,27.8,59.3,23.438467708911446,8.91826530243598,2024-01-10
10,Illinois,118.82507501506818,95.42596213617333,17.2,24.2,32.2,56.8,23.399112878894854,8.249158856125863,2024-01-10
5,Tennessee,114.99557145322618,90.39323435279896,15.1,37.2,29.4,50.7,24.60233710042722,8.161425631260602,2024-01-10
14,Duke,119.41679379235951,96.79987296485224,13.8,26.9,32.3,55.4,22.616920827507272,8.040771704779434,2024-01-10
11,North Carolina,118.3428811107251,95.83511254200192,13.900000000000002,26.200000000000003,30.4,50.7,22.50776856872318,8.033838826921139,2024-01-10
7,Connecticut,121.10896229050144,96.95054744165728,15.5,34.2,34.9,62.5,24.15841484884416,8.017933057794936,2024-01-10
9,Michigan St.,117.22876683860522,94.11120896626718,16.2,30.0,29.7,54.4,23.11755787233804,7.831110302126204,2024-01-10
13,Marquette,115.51829914695227,93.58079055991726,15.0,27.1,32.2,56.3,21.937508587035012,7.441030238091358,2024-01-10
15,Wisconsin,120.10522527058546,97.7610639926488,15.0,31.7,35.5,53.5,22.344161277936664,6.910988379541365,2024-01-10
19,Kentucky,119.77068647911916,99.0862463493571,12.8,31.2,30.8,55.9,20.684440129762066,6.762908479154859,2024-01-10
12,Iowa St.,113.03620615062584,91.53907902282415,15.3,31.7,33.1,55.5,21.49712712780169,6.595897547959031,2024-01-10
16,Baylor,121.97713154108924,100.69270506585106,16.2,31.4,30.5,54.1,21.284426475238178,6.5090001498952885,2024-01-10
17,Kansas,113.3839502612513,93.6073552356004,17.4,23.200000000000003,31.8,55.1,19.776595025650906,6.080322965647053,2024-01-10
20,Clemson,118.52293830839412,98.15246822962824,14.8,31.4,32.7,55.8,20.370470078765877,6.061686748047183,2024-01-10
22,Utah,117.35840777961316,98.17571141240148,16.5,23.200000000000003,34.7,53.7,19.182696367211676,5.595244783999122,2024-01-10
21,Gonzaga,115.84179079020625,96.39890212264577,16.5,27.700000000000003,32.4,55.7,19.44288866756048,5.577212087211893,2024-01-10
27,Texas Tech,116.80144726669026,98.29133999202858,15.7,24.4,31.4,53.9,18.510107274661678,5.477165437543624,2024-01-10
25,Colorado St.,118.05970106386346,99.0797122813902,15.1,28.8,33.9,60.2,18.979988782473256,5.4421931573086875,2024-01-10
33,Dayton,120.8516250727665,102.54778434360236,16.5,21.3,32.5,53.9,18.303840729164136,5.418792844790122,2024-01-10
18,St. John's,116.53807233604712,96.35301208185642,16.900000000000002,33.1,32.6,50.0,20.185060254190702,5.270836755056328,2024-01-10
28,Florida Atlantic,119.31860550679164,100.52937653738984,16.7,26.0,33.5,57.5,18.789228969401805,5.2698296713351,2024-01-10
35,Miami FL,117.16358848746872,99.92901315731444,17.599999999999998,19.0,28.0,54.9,17.23457533015427,5.186790951394105,2024-01-10
24,Ohio St.,117.11373492332066,98.10753858263438,16.900000000000002,28.2,31.2,49.8,19.006196340686287,5.115879767818635,2024-01-10
