rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,ajdt
1,Houston,B12,30-4,119.21559406321592,15,85.51912505427167,1,0.9785474472799778,1,30.980464074479226,4.019535925520772,15,3,15-3,0.7191843953394078,0.5019348981770578,0.8452767766694894,0.7122400365312066,0.5019348981770578,0.8452767766694894,0.6623831955151218,0.8430205031954957,110.86954005798535,99.56392596025437,110.67214543892015,99.71432983930099,122.82699238890594,89.06064482191015,124.56244936622002,92.58684871429536,0.968064824,20,0.005808485,1313,1122,1167.2125,1.124902277862857,0.9612645512278183,0,0.8333333333333334,10.625935677000037,3,160,63.32828891716758
2,Connecticut,BE,31-3,127.0459657751087,1,93.55290885555301,11,0.9712305778795292,2,31.983888883001775,3.0161111169982266,18,2,18-2,0.6732787100268016,0.4614448974966251,0.7578660812394302,0.6642137047197225,0.4614448974966251,0.7578660812394302,0.6715257680657147,0.7603808194524331,109.94462569319349,101.39967964838404,109.89586386436027,101.75863824969086,126.21021109349634,94.11574055557129,131.29729148492564,98.18790661493367,0.9658314134095939,18,0.060426884,1565,1288,1298.1499999999999,1.2055617609675309,0.9921811809112969,0,0.9,11.266100654618361,1,60,64.58559127602219
3,Purdue,B10,29-4,126.21234895565772,2,94.71881034,18,0.9644669269020233,3,29,4,17,3,17-3,0.7653649435150504,0.6664809783211781,0.8062758266722676,0.7653649435150504,0.6664809783211781,0.8062758266722676,0.6392368444183538,0.6808418290980067,113.07711266601999,99.71201603208169,113.07711266601999,99.71201603208169,129.50403305176266,97.87118129,138.9771369,106.9523001566747,0.9531202241888349,18,0.060843942,1657,1452,1364.35,1.2144977461794995,1.0642430461391872,0,0.85,11.022954231979869,2,59,67.59855092630679
4,Iowa St.,B12,27-7,113.65044396286447,51,86.54536018967156,2,0.9582446697080234,4,27.94249905600775,7.057500943992248,13,5,13-5,0.6688502487840629,0.37053001179783973,0.8465083466651637,0.6664073961000015,0.37053001179783973,0.8465083466651637,0.6754211062742126,0.8933793797784263,109.60620009245804,100.48971613407923,109.54767193472183,100.60302984598434,112.24399011160546,87.91956215597106,117.75412631573339,89.67165105140508,0.9582379111830936,17,-0.006102452,1227,1156,1198.575,1.0237156623490395,0.9644786517322653,0,0.7222222222222222,6.887816044877772,4,184,67.56930474877316
5,Auburn,SEC,27-7,120.65486566521469,10,92.05002017679897,6,0.9573818834937593,5,27.88539376267209,7.114606237327909,13,5,13-5,0.6889372402828982,0.5311313709236772,0.7724769019946485,0.690513341,0.5311313709236772,0.7724769019946485,0.720713434,0.8404040445716586,110.79226009289383,101.75359197533908,110.76353332094799,101.70507142271407,120.22710793332548,92.95892177,114.24603375244929,91.10451514237631,0.9310537570508178,11,-0.052329521,1485,1258,1274.2250000000001,1.1654142714198825,0.9872667699974493,0,0.7222222222222222,5.478962355701752,9,291,69.84682711582445
6,Arizona,P12,25-8,121.51955419600026,7,93.61901976008025,12,0.9525596085274793,6,25.96360904417696,8.036390955823041,15,5,15-5,0.7256827197863831,0.6713124026289741,0.748930593,0.7170234122127113,0.6713124026289741,0.748930593,0.7072084895441254,0.6814881560557015,110.92412774777236,100.32959988300472,110.76133707285813,100.5538949,124.65520449761657,97.14358305130139,141.32234055272335,102.00065342849751,0.9770167453090285,10,-0.063925881,1755,1495,1478.1125000000004,1.1873250513746414,1.0114250437635834,0,0.75,4.893241876358836,11,312,72.04307102595187
7,Tennessee,SEC,24-8,115.61959803006602,33,91.2522024,3,0.93830088,7,24.957378835899032,8.042621164100966,14,4,14-4,0.726682774,0.6314242078795591,0.78712295,0.7168955969438331,0.6314242078795591,0.78712295,0.6675261600601798,0.6966084040854776,113.15702477336193,101.47423823873714,112.66186951775235,101.4343212492421,119.16952107146291,92.14851393353817,129.54300965366937,105.13780341267622,0.9168671,15,0.004070333,1475,1263,1274.7375,1.1571009717686975,0.9907922219280441,0,0.7777777777777778,5.762873520018671,8,164,69.21898530868579
8,Marquette,BE,25-9,118.92019118617492,19,94.59518031244988,17,0.932875955,8,25.904970307996912,9.095029692,14,6,14-6,0.7353598073671359,0.6462358976589361,0.7618260332670703,0.7313036636869593,0.6462358976589361,0.7618260332670703,0.6358718657440134,0.6846281397481003,112.44233795601694,99.55230976533976,112.23531131949261,99.61637816,118.78555200530089,95.72921536010445,126.13732826911001,103.14805951845543,0.9100189738435268,19,0.034876355,1573,1425,1394.7375000000002,1.1278107887684956,1.0216976312747021,0,0.7,6.513347209644924,6,97,69.06386237529864
9,North Carolina,ACC,27-7,116.78400240204141,26,93.19404463350503,8,0.9305317352892731,9,27,7,17,3,17-3,0.7214727237920263,0.6236138883400503,0.7637610441307328,0.7214727237920263,0.6236138883400503,0.7637610441307328,0.6933514630435368,0.7234830256327291,111.38879698272503,100.73661201059382,111.38879698272503,100.73661201059382,115.31013160319806,91.07705554020873,131.80179397319276,99.96634565998836,0.9600499328965113,12,0.034996802,1573,1363,1415.7250000000001,1.111091490225856,0.9627575976972929,0,0.85,6.559586640864528,5,96,70.36683417415804
10,Creighton,BE,23-9,120.59965681221335,12,96.45537654474472,27,0.9288431637099932,10,23.898532554174277,9.101467445825723,14,6,14-6,0.7059161298643041,0.5935939862912876,0.7622403204808125,0.7025795207676708,0.5935939862912876,0.7622403204808125,0.6735133293701612,0.7556735392604693,110.94315685395637,100.34941470891339,110.76406779816428,100.38574610266656,119.8321758599702,95.30307393649232,128.30986045737814,103.5838761247266,0.9214174899041678,16,-0.009385761,1574,1421,1393.225,1.1297529114105762,1.0199357605555457,0,0.7,4.425038878855274,13,196,66.94682584
11,Duke,ACC,24-8,120.79706751470704,9,96.82910695146494,30,0.9271282083819593,11,24.86788182561629,8.132118174383711,15,5,15-5,0.6687560557950222,0.5264560721491939,0.7405585619044774,0.6684753284919533,0.5264560721491939,0.7405585619044774,0.7331218447081729,0.7984717275419979,109.52231957957744,101.48308457952794,109.37082568883697,101.39827436896552,122.0865248552784,97.13503799123926,138.20518735870596,107.9146516522878,0.9450641218630476,9,-0.032373308,1554,1356,1332.8,1.165966386554622,1.017406962785114,0,0.75,3.317487771222244,19,255,66.86362386535356
12,Illinois,B10,26-8,125.32300057948176,3,101.0872803324234,97,0.9221171278546725,12,26.891973761788126,8.108026238211872,14,6,14-6,0.7074707328345685,0.4677093516757022,0.8122142097080045,0.7040898014852546,0.4677093516757022,0.8122142097080045,0.6790525820010666,0.825950867,110.53704809160304,99.93367023610844,110.4265359858545,100.0320800398676,128.03793692562368,101.94384974904243,136.69275462207736,108.48881454798762,0.9344729496321588,16,0.046672207,1683,1533,1408.1875000000002,1.1951533442812123,1.088633438373796,0,0.7,6.010090843724836,7,74,69.85373363843651
13,Saint Mary's,WCC,26-7,115.79405104394098,30,93.65491069602888,13,0.9198460943200989,13,26.77091683963856,7.22908316,15,1,15-1,0.5462623045779641,0.5767067638532791,0.48919897327486794,0.5529384545898877,0.5767067638532791,0.48919897327486794,0.8077145914329735,0.8048623170276236,107.42890895999193,104.23703665877407,107.53913572872392,104.10344298159025,120.48929326029074,95.70323258785652,124.44075108163027,105.9941198175023,0.8635542967469921,7,-0.050241536,1247,935,1003.9875,1.2420473362467164,0.9312864951007856,0,0.9375,1.4227353251600512,37,287,62.07243678335486
14,Gonzaga,WCC,25-7,121.23301868618874,8,98.60975268926941,50,0.9149211524779736,14,25.780249353695634,7.219750646304367,14,2,14-2,0.5492564455473269,0.5747530450299146,0.4898294771135994,0.5553935856749315,0.5747530450299146,0.4898294771135994,0.7683488668353193,0.7215246839981432,107.71014847337028,104.24452059811682,107.82196118767406,104.14515745940008,122.58901404448955,99.10326206637684,128.7316221945611,105.92838308589084,0.9039682505139891,8,-0.008963164,1392,1087,1108.8125,1.255397102756327,0.9803280536610112,0,0.875,2.4643349147676923,26,193,69.07381981716817
15,Alabama,SEC,21-11,125.15910821874088,4,102.04468369221476,119,0.9127761215720543,15,21.816596956467734,11.183403043532264,13,5,13-5,0.7567643136220914,0.6715145457008634,0.8106462688965799,0.7550902849614654,0.6715145457008634,0.8106462688965799,0.6421698434712206,0.7050302273267497,113.69810028680965,100.1877724696297,113.68711184642764,100.34023210975967,124.20381313241188,103.1887843,123.45825660199316,104.75820060965893,0.8686249123179516,14,-0.007031913,1609,1506,1360.7749999999999,1.1824144329518107,1.1067222722345724,0,0.7222222222222222,3.442480445621258,15,189,72.50714847232531
16,Kansas,B12,22-10,113.54824959326976,52,92.71465958701484,7,0.9114173103091575,16,22.790624736944466,10.209375263055536,10,8,8-Oct,0.7250803396221535,0.5506941229170422,0.843965931,0.7252756057727291,0.5506941229170422,0.843965931,0.6429076271509102,0.7512075536291157,111.87904740502594,98.74865043271913,111.87474170290001,98.86319296,116.85149355678874,94.15870867,116.01519555372181,96.60327719136461,0.8914605898547661,17,0.026177439835020855,1321,1277,1241.925,1.0636713167059202,1.028242446202468,0,0.5555555555555556,4.303002520773451,14,111,68.88107620845774
17,Baylor,B12,23-10,122.20916733247357,6,99.89976159255511,78,0.9103583113557577,17,23.906182643464685,10.093817356535313,11,7,7-Nov,0.7305096414011967,0.5188659800436329,0.8639530689221543,0.7240984481842336,0.5188659800436329,0.8639530689221543,0.640197357,0.7801468750424067,111.44749306718333,98.63917645116518,111.16996561778245,98.73629821643495,122.66488494411543,100.50517558108254,125.66108832349421,105.41221153648603,0.8829497771173405,20,0.043192194005319595,1369,1317,1213.4125000000001,1.128223089839605,1.0853687431108545,0,0.6111111111111112,5.087542513874281,10,80,65.73496942422771
18,BYU,B12,23-10,120.6349367526065,11,98.97875928,59,0.9068217923670373,18,23.75363193467484,10.24636806532516,10,8,8-Oct,0.6709798417778126,0.4065148795961243,0.842457998,0.6736231317118997,0.4065148795961243,0.842457998,0.692609502,0.8813459456866227,109.1398203275796,100.57338347329399,109.05675572369539,100.4428972660927,121.44150532937397,100.65916014427248,126.75170442914728,105.3663932209603,0.8933135111869006,15,-0.006455408,1372,1353,1247.575,1.0997334829569365,1.0845039376390198,0,0.5555555555555556,2.875525986,21,187,68.96700459427362
19,Wisconsin,B10,22-13,119.81122850255856,13,98.78347536080173,54,0.9019738560184384,19,22.724432898275406,13.275567101724596,11,9,9-Nov,0.7647084763063065,0.6046713893703264,0.8282942441301699,0.7650716582718546,0.6046713893703264,0.8282942441301699,0.6310139750756203,0.7273558317835292,112.32949107361706,98.75247742520395,112.31852234453572,98.79772371,120.82414021535074,100.30531621878146,133.16724369982836,107.42315844475324,0.9220509635832732,17,-0.003974124,1487,1441,1328.1375000000003,1.1196129918777233,1.084978023736247,0,0.55,3.330325034695747,18,177,64.95903597337694
20,Texas,B12,20-12,119.01643832668262,18,98.25701749742183,42,0.9006315784150203,20,20,12,9,9,9-Sep,0.6873082190760027,0.46635295390350756,0.8407395723894048,0.6873082190760027,0.46635295390350756,0.8407395723894048,0.6615399210958229,0.8260082960344882,110.41471307253825,100.09469057390736,110.41471307253825,100.09469057390736,120.7057580619298,99.52951328597145,128.2396939951263,108.54793645597121,0.8718209789263288,14,-0.037548317,1346,1322,1219.525,1.1037084110616837,1.084028617699514,0,0.5,1.2255513454308864,42,269,67.17514791974499
