,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt",
1,Houston,B12,30-4,124.7911681,9,87.98706335,1,0.982341066,1,30.9891191,4.010880895,19,1,19-1,0.761649189,0.559275077,0.855837799,0.750734418,0.559275077,0.855837799,0.623428524,0.769058131,113.7025051,99.47659847,113.3478257,99.65463771,125.8146773,88.58087512,136.9293349,95.16408226,0.984997432,15,0.009118845,1442,1194,1251.45,1.152263374,0.954093252,0,0.95,11.55029393,2,151,61.42459571
2,Duke,ACC,31-3,128.4529987,2,91.27235521,4,0.980729549,2,31,3,19,1,19-1,0.692658804,0.644729531,0.697446667,0.692658804,0.644729531,0.697446667,0.693702484,0.669160241,112.133321,102.0050193,112.133321,102.0050193,130.7080127,93.42890798,133.2953566,94.88668962,0.980327509,11,0.012110049,1688,1254,1315.725,1.282942864,0.953086701,0,0.95,9.589480095,5,141,65.70601161
3,Auburn,SEC,28-5,129.0491734,1,93.65311137,12,0.975561477,3,28,5,15,3,15-3,0.803857737,0.660720906,0.893369813,0.803857737,0.660720906,0.893369813,0.544364012,0.652622473,116.4438858,98.88994529,116.4438858,98.88994529,128.6640363,94.40068319,135.3611054,96.61814864,0.979718653,22,0.054919948,1492,1327,1262.35,1.181922605,1.051214006,0,0.833333333,12.45973711,1,51,67.7757426
4,Florida,SEC,30-4,127.698777,3,94.00594003,13,0.971325028,4,30.97861373,4.021386268,14,4,14-4,0.729711168,0.470865501,0.879747508,0.721015814,0.470865501,0.879747508,0.631118551,0.861754109,113.749032,100.8599252,113.53376,101.0933247,127.1785776,94.17086587,135.3116372,96.98152848,0.978755631,16,0.067289299,1483,1289,1253.575,1.183016573,1.028259179,0,0.777777778,11.11649008,3,44,69.51588047
5,Alabama,SEC,25-8,127.6343125,4,96.35558755,28,0.962054652,5,25.95841223,8.041587768,13,5,13-5,0.827284344,0.720603123,0.890540569,0.818359658,0.720603123,0.890540569,0.545749568,0.662030669,117.8297429,99.13128413,117.4787965,99.30454727,130.4505729,97.35894853,131.2731297,98.22510553,0.96561717,21,0.039968487,1657,1509,1384.85,1.196519479,1.089648698,0,0.722222222,9.767871644,4,82,74.64530031
6,Tennessee,SEC,27-7,119.2852955,19,91.08197581,3,0.956984164,6,27.94860122,7.051398781,12,6,6-Dec,0.748779956,0.509948359,0.890549239,0.743002692,0.509948359,0.890549239,0.595595969,0.799936445,116.062512,101.2311753,115.931249,101.4723381,117.3664426,91.47025104,125.4245773,94.23978387,0.963994539,20,0.064525263,1270,1189,1167.6375,1.087666335,1.01829549,0,0.666666667,9.260152495,6,45,63.82299362
7,Texas Tech,B12,25-8,126.010354,6,96.69979327,32,0.954551308,7,25.922266,8.077734005,15,5,15-5,0.716412348,0.444523814,0.845108061,0.714136125,0.444523814,0.845108061,0.653281326,0.877941007,111.9863712,100.3068303,111.9935147,100.4975654,126.1567022,96.01130155,133.2697449,101.9347241,0.956164656,13,-0.014729259,1565,1374,1343.6875,1.164705335,1.022559189,0,0.75,5.779329484,11,217,65.55442387
8,Iowa St.,B12,24-9,118.8761258,20,92.34659862,8,0.948050262,8,24.89924577,9.100754227,13,7,13-7,0.733909005,0.50038558,0.845900523,0.732075272,0.50038558,0.845900523,0.6379832,0.795176826,112.9869758,101.0377929,112.9202266,101.126124,115.8462217,90.50711945,131.2051544,99.20445768,0.961400841,14,-0.016425543,1511,1373,1411.925,1.070170158,0.972431255,0,0.65,5.410344929,14,222,68.54014292
9,Arizona,B12,22-12,123.9398856,10,96.46766123,30,0.946937941,9,22.89714785,12.10285215,14,6,14-6,0.777246427,0.574969843,0.8618732,0.774230558,0.574969843,0.8618732,0.564759266,0.708780883,114.891451,99.01391674,114.8571503,99.23722605,125.2163927,97.52201945,124.2448246,97.84917575,0.939715804,21,-0.02825426,1600,1490,1400.3375,1.142581699,1.064029207,0,0.7,5.39939417,15,248,69.86235391
10,Maryland,B10,25-8,117.8354815,28,92.04080901,6,0.944859917,10,25.86277694,8.137223063,14,6,14-6,0.674673844,0.338391489,0.835594126,0.67634731,0.338391489,0.835594126,0.689006351,0.905912938,111.8229638,103.1666609,111.7261804,103.0579601,117.3922133,92.53638943,127.9190309,98.89949922,0.950681187,13,-0.027240969,1554,1413,1414.5125,1.098611713,0.998930727,0,0.7,4.561240804,22,246,69.84138134
