,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Duke,132.2,91.8,0.985,9–0,9,9,57.7,44.9,32.4,26.1,13.2,16.8,37.4,27.1,68.2,59,46.2,37.4,28.5,12.5,9.1,55.1,46,42.9,38.6,67.1,79.763,82.221,0.968,"2,025",0,0,80.734,,81.1,75,1.282,0.954,35.559,Duke
2,Houston,124.3,87.7,0.982,9–0,9,9,52.8,44.7,33.3,32,16,19.8,30.9,31,63.3,47.3,45.4,41.9,29.1,13.5,8.5,35.6,52.2,35.2,41.4,63.3,76.82,79.578,2.278,"2,025",0,0,75.695,,77.9,81.2,1.128,0.974,51.603,Houston
3,Florida,134.9,96,0.98,8–1,8,9,56,48.6,35.9,41.7,13.5,14.6,37.8,28.3,72.3,56.7,47.6,36.6,33.5,11,7.7,49.5,45.7,44.6,38.3,70.8,78.018,82.097,1.887,"2,025",0,0,28.619,,72,70.9,1.244,1.061,54.827,Florida
4,BYU,133,98.6,0.969,7–1,7,8,58.3,50.5,31.1,29.3,17.4,15.5,31.6,29,69.1,58.5,49.3,38.8,34.7,8,11,62.4,49.3,49.4,45.1,69,78.157,80.606,1.859,"2,025",0,0,37.215,,73.5,75.3,1.19,1.078,55.703,BYU
5,Alabama,129.7,96.4,0.968,4–4,4,8,57.8,52.4,34.3,41.1,14.7,14.1,28.4,28.4,78,57.9,53.6,38.4,33.7,6.9,12.3,52.3,51.2,45.3,37.3,76.4,78.074,82.581,1.819,"2,025",0,0,58.572,,72.1,68.5,1.183,1.12,66.191,Alabama
6,Michigan St.,117.8,87.6,0.968,7–1,7,8,50.5,47.5,35.4,37,14.9,17.1,30.7,20,68.7,48.9,55.4,35.8,25,9.6,8.3,55.5,51.9,34.1,44.4,67.7,78.039,81.913,1.752,"2,025",0,0,74.743,,69.6,76.3,1.086,0.967,53.053,Michigan St.
7,Georgia,125.4,94.3,0.964,4–2,4,6,54.1,50,45,42,17.7,15.3,33.2,29.6,68.6,52.2,46.6,38.1,36.2,12.6,6.3,38.7,50,38.1,44.3,67.8,78.786,81.87,1.393,"2,025",0,0,64.946,,73.8,70.8,1.137,1.081,52.633,Georgia
8,North Carolina,128.9,97.2,0.963,8–2,8,10,58.5,49.3,36.6,30,15.1,15,32.9,23.2,68.1,53.8,51.3,43.8,30.8,7.1,11.4,54.5,41.4,39.2,39.1,69.7,76.426,79.988,1.625,"2,025",0,0,87.178,,76.3,70.7,1.228,1.021,31.668,North Carolina
9,Maryland,113.7,85.8,0.962,5–2,5,7,47.4,45.4,36.4,21.8,12.6,20.6,25.5,28.6,71.3,43.7,46,36.3,29.3,12,9.7,51.7,52,34.5,32.5,69.8,77.5,80.919,1.64,"2,025",0,0,66.049,,79.9,78.7,1.049,0.931,44.702,Maryland
10,Auburn,127.5,96.3,0.962,5–3,5,8,54.2,49.2,38.1,45.2,14.3,18,31.1,32.2,67.8,55.3,53.9,35,27.3,12.3,7.7,55.7,44.2,39.2,36.2,66.6,78.431,81.057,2.573,"2,025",0,0,34.433,,74.7,74.1,1.159,1.064,53.038,Auburn
11,Colorado St.,122.2,92.5,0.961,9–0,9,9,61.2,46.8,38.9,33.5,17.6,17.2,25.5,24.8,64.5,55.9,51.8,45.9,26.6,7.3,5.5,61.2,52,40.5,42.6,66.1,77.024,79.53,2.033,"2,025",0,0,33.82,,76.4,71.9,1.198,0.967,25.375,Colorado St.
12,Gonzaga,124.3,94.6,0.959,5–1,5,6,54.7,48.6,30.5,26.4,12.5,19.9,25.9,30.8,69.5,58.3,48.5,30.8,32.6,7.5,6.3,59.7,45.4,29.6,36.2,70.3,77.317,80.873,2.522,"2,025",0,0,61.194,,80.9,73.4,1.161,0.995,42.863,Gonzaga
13,Iowa St.,120.3,92.1,0.956,4–4,4,8,55.8,49.5,36.6,37.4,19.2,22,25.5,31.1,68.3,52.8,50.4,39.9,32.3,10.6,11.1,59.1,57.4,42.7,44.6,68.4,77.854,81.053,2.401,"2,025",0,0,35.926,,77.6,78.9,1.093,1.013,48.799,Iowa St.
14,St. John's,116.3,89.3,0.954,8–0,8,8,51.1,46.3,28.9,32.5,15.4,21.2,36.8,29.4,70.4,51.1,51,34.3,26.8,12.2,8.4,53.9,57.1,27.3,43.8,71.2,78.209,80.533,2.12,"2,025",0,0,64.078,,71.5,66.4,1.124,0.934,35.38,St. John's
15,Texas Tech,130,100.3,0.952,5–3,5,8,52.7,48.6,29,34.5,12,12.8,30.9,29,64.4,50.2,50.8,36.7,28.9,9.1,9.5,58.9,39.5,51.8,29.9,65.3,76.407,79.854,1.972,"2,025",0,0,36.947,,75.5,73.7,1.184,1.076,49.239,Texas Tech
16,Tennessee,126.7,98,0.95,6–2,6,8,52.9,47.4,46.3,36.3,14.7,14,31,34.6,65.3,54.7,53.2,33.7,26.5,12.5,8.6,59.2,50.5,43.5,43,64.2,77.149,81.352,2.65,"2,025",0,0,51.743,,73.9,76.3,1.152,1.091,55.854,Tennessee
17,Wisconsin,120,93.4,0.947,6–4,6,10,49.2,47.3,29.7,26.8,13.7,13.6,28.2,26.5,68.3,51.9,45.2,30.8,33.7,6.1,12.7,52.7,54.4,47.4,39.3,68.1,78.113,81.776,2.223,"2,025",0,0,24.761,,80.3,70.5,1.088,1.016,41.772,Wisconsin
18,Arizona,132.4,103.6,0.944,5–4,5,9,54.1,52.8,40.3,33.1,14.9,13.8,34.7,31.9,69.3,54.4,48.5,35.6,39.4,11.2,7.2,52.4,53.8,34,40.6,69.7,77.892,80.498,1.92,"2,025",0,0,66.268,,81.7,75,1.197,1.163,57.085,Arizona
19,Xavier,120.4,94.4,0.943,5–1,5,6,56.7,53.7,31.5,25.1,13.9,18.6,19.3,16.8,70.9,55,52.6,39.7,36.7,6.8,6.9,65.1,58.1,37.5,43.4,71.5,76.997,80.414,2.524,"2,025",0,0,42.959,,81.8,71.8,1.143,0.999,25.992,Xavier
20,Penn St.,121.5,95.5,0.941,3–2,3,5,58.1,49.2,36.2,28.9,19.3,16.4,21.9,26.9,69.4,58.1,47.1,38.7,35.1,13.9,8.7,63.2,70.1,35.1,37.2,69.6,77.903,81.137,2.275,"2,025",0,0,57.579,,81.3,75.6,1.112,1.031,45.989,Penn St.
21,Kentucky,121.3,95.5,0.94,5–3,5,8,55,55.6,42.1,31.2,17,15.3,24.5,22,75,56,57.2,35.6,35.5,9.5,7.4,53.8,42.2,40,42.7,72,78.775,82.178,2.329,"2,025",0,0,46.326,,75.8,74,1.112,1.106,54.709,Kentucky
22,Clemson,116,92.2,0.933,6–1,6,7,50.5,48.1,29.5,28.6,15,20.7,33.5,28.6,65,52,49.8,31.7,30.2,9.8,10,53,50.9,33.9,37.2,65.9,77.87,81.701,2.503,"2,025",0,0,51.614,,76,75.7,1.113,0.97,30.904,Clemson
23,Northwestern,114,90.8,0.932,4–3,4,7,49.3,46,35.7,32.6,15.9,19.4,28.2,32.8,64.6,50.6,46.1,31.3,30.5,10.3,10.5,60.5,60.1,35.2,39.4,65.6,78.283,81.173,2.211,"2,025",0,0,35.876,,75,78.4,1.056,0.995,44.549,Northwestern
24,VCU,119.7,95.7,0.929,8–1,8,9,51.8,42.1,34.4,31.8,16.2,16.9,37,31.9,63.2,53.8,41.7,33.1,28.6,15.1,7.9,54.3,47.3,47.6,34.6,64.7,78.096,81.568,2.233,"2,025",0,0,34.315,,77.1,70.2,1.162,0.948,15.397,VCU
25,Santa Clara,122.5,98.7,0.923,4–2,4,6,59.7,51.7,27.3,26.4,15.8,17.2,32.2,19.6,72.8,51.8,56.3,45.3,29.8,7.4,11.3,59.9,58.9,49.4,39.6,71.5,78.404,81.555,2.44,"2,025",0,0,19.601,,71.4,77.7,1.225,1.01,17.365,Santa Clara
26,Louisville,116.5,93.9,0.923,7–1,7,8,53.6,47,37.5,26.6,17.8,17.8,28.3,30.2,68.7,55.7,45.8,33.7,32.4,7.3,9.8,46.6,44,40.7,42.9,69.6,78.008,81.168,2.555,"2,025",0,0,20.225,,76.6,75.8,1.101,1.001,30.648,Louisville
27,Missouri,133.1,108.2,0.915,3–5,3,8,57.3,57,42.8,45.6,15.1,17.4,36.3,35.6,72.4,58.8,62.1,36.7,32.8,5.6,8.8,46.2,48.5,40.2,39.9,70.1,78.276,81.594,2.197,"2,025",0,0,66.184,,73.1,80.1,1.229,1.213,51.715,Missouri
28,Oregon,114,93.2,0.91,6–1,6,7,51.8,47,27.1,25.7,16.4,16.4,31.3,28.8,67.2,53.6,47,32.5,31.3,11.6,8.2,50.5,55,37,34,66.3,77.427,81.554,2.452,"2,025",0,0,60.009,,77.4,68.5,1.085,0.99,41.036,Oregon
29,Kansas,117.8,96.5,0.908,4–4,4,8,52.9,51.6,25.3,25.5,18.5,15.3,31.5,29.2,70,51,50,37.5,35.8,12.1,11.1,59.8,50,36.9,42.6,69.1,77.963,82.013,2.526,"2,025",0,0,65.96,,69,76.7,1.079,1.09,52.257,Kansas
30,Oklahoma,124.3,101.9,0.908,4–4,4,8,57.2,53.1,44.6,37.8,15.4,15.1,22,31.9,71.3,55,55.1,40.2,33.6,4.7,7.4,50.9,50,41.6,43.7,69.9,77.138,80.403,2.256,"2,025",0,0,48.517,,77.7,74.6,1.155,1.153,54.988,Oklahoma
31,UC San Diego,114,93.6,0.906,8–0,8,8,55.9,42.2,30.8,26.4,10.9,22.7,24.2,29,66.2,56.9,40.9,36.7,29.2,8.5,9.3,66.4,56.7,53.4,47.1,65.3,77.481,78.923,2.447,"2,025",0,0,14.091,,72.7,80.3,1.176,0.885,10.373,UC San Diego
32,Texas A&M,117.5,96.8,0.903,2–5,2,7,44.5,51.6,45,39.3,19.3,14.7,41,26.3,67.3,43.6,45.3,30.7,39.7,10.3,16.2,46.6,61,38.6,44.5,66.8,77.361,79.763,2.764,"2,025",0,0,69.423,,73.2,79.1,1.055,1.106,54.139,Texas A&M
33,Marquette,119.8,99.6,0.893,4–4,4,8,54.3,47.5,23.3,30.8,15.3,16.2,27.8,31.6,67.4,58,45.5,33.6,34.1,8.1,8.8,50.4,58,48.5,36.4,67.6,77.724,80.58,2.084,"2,025",0,0,62.664,,69.9,76.5,1.106,1.048,38.759,Marquette
34,UCLA,118.5,98.8,0.89,3–3,3,6,51.9,53.7,30.8,27.9,16.9,19,38.2,27.9,64.2,51.4,48.9,35.2,39.9,12.2,8.8,69.9,59.3,37.2,44.3,65.4,78.101,81.377,1.849,"2,025",0,0,70.64,,67.9,80,1.114,1.088,41.472,UCLA
35,Baylor,118.4,98.8,0.889,3–5,3,8,47.3,48.4,29.9,34.6,15.3,16.9,35.5,32.3,63.6,47.8,48.3,31.1,32.4,6.9,8.3,51.6,56.8,40.6,40.3,63.9,76.961,79.571,1.871,"2,025",0,0,56.146,,72.9,74.2,1.072,1.052,47.05,Baylor
36,Connecticut,124.2,104,0.885,6–2,6,8,54.4,48.8,29.8,36.4,18,13.2,40.7,26.1,62.6,56.2,47.9,34.3,33.5,17.4,10.6,59.6,46.7,38.6,38.2,63.5,78.167,80.841,1.638,"2,025",0,0,87.492,,84.2,73.1,1.192,1.065,32.487,Connecticut
37,Indiana,110.7,92.7,0.885,4–2,4,6,50.1,49.2,30.2,32.3,14.9,18.3,29.3,24.3,67.2,49.2,49.2,34.7,32.8,10.2,8.9,67.5,53.2,33.3,39.4,66.9,78.696,81.524,2.062,"2,025",0,0,79.15,,63.6,79,1.049,0.999,36.267,Indiana
38,Villanova,118.7,99.5,0.884,4–3,4,7,51.4,51.2,38.5,22.4,15.1,13.9,25.5,24.8,61.6,44.4,50.2,40,35,7.2,12.1,48,60.1,44.7,42.4,63.1,77.311,80.292,2.445,"2,025",0,0,59.91,,77.5,76.7,1.102,1.064,29.16,Villanova
39,Saint Mary's,112.7,94.7,0.881,5–1,5,6,47.7,47.1,29.3,24.9,16.5,10.3,44.7,19,61.6,49.6,50.6,29.1,25,7.1,7,48.7,47.9,31.3,26.7,60.8,78.408,81.447,1.982,"2,025",0,0,48.461,,71.8,72,1.11,0.999,30.537,Saint Mary's
