,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Florida,139.7,94.7,0.989,6–0,6,6,58.5,47.5,37.2,42.3,14.9,13.1,39,30.1,73.7,60.3,47.7,37.5,31.4,11.6,7.9,52.3,42.8,45.1,36.7,71.6,78.018,82.097,1.887,"2,025",0,0,28.619,,73.8,70.2,1.273,1.074,61.338,Florida
2,Colorado St.,128.4,91.3,0.981,6–0,6,6,63.2,45.7,38.9,33.2,15.9,16.4,23.1,29.1,64,56.4,52.7,48.8,25.8,6.1,5.5,58.9,51.2,40.8,49.7,65.2,77.024,79.53,2.033,"2,025",0,0,33.82,,76.5,75.2,1.244,0.994,30.918,Colorado St.
3,Houston,121.5,87.5,0.978,6–0,6,6,50.6,44.9,32.4,25.4,13.8,20.3,30.6,31.4,64.1,47.5,46.4,37.5,28.3,13,7.3,30.9,47,35.4,38,64.1,76.82,79.578,2.278,"2,025",0,0,75.695,,75.5,82.4,1.108,0.963,48.25,Houston
4,Iowa St.,124.5,90.1,0.976,3–2,3,5,57.6,47.7,32.2,39.3,17.7,22.5,25,33.1,68.7,55,48.6,40.8,31.2,11.1,11.2,53.5,64.9,41.5,49.5,68.6,77.854,81.053,2.401,"2,025",0,0,35.926,,82.8,82.1,1.137,1.009,50.359,Iowa St.
5,Duke,128.9,94.1,0.974,6–0,6,6,54.4,46,34.1,25.1,14.4,16.9,37.1,27.9,68.1,60,44,31.7,32.8,13.8,7.5,50.9,42.7,45.5,37.3,66.1,79.763,82.221,0.968,"2,025",0,0,80.734,,80.8,74.4,1.224,0.972,35.694,Duke
6,Gonzaga,125.5,92.2,0.972,3–0,3,3,51.9,47.5,31.4,23.8,10.1,19.3,26,30.3,69.2,55.8,53.3,28.6,23.7,5.7,4.7,62.5,44.3,30.3,32.6,70.6,77.317,80.873,2.522,"2,025",0,0,61.194,,79.3,69.8,1.147,0.974,44.508,Gonzaga
7,Alabama,126.5,93.9,0.969,2–3,2,5,53.9,52.5,35.3,40.4,13.3,13.6,26.7,26.1,77.7,55,51.9,34.8,35.8,8.4,11.9,50,51.9,40.1,35.9,76.5,78.074,82.581,1.819,"2,025",0,0,58.572,,68.1,68.1,1.116,1.114,75.473,Alabama
8,Maryland,116.6,86.7,0.968,4–1,4,5,47.6,45.9,34.3,24.4,12,22.7,27.8,32.4,71.4,42.2,47,38.7,29.1,13.5,10.2,56.3,56.5,34,34,69.5,77.5,80.919,1.64,"2,025",0,0,66.049,,78.5,78.4,1.067,0.941,48.73,Maryland
9,Michigan St.,117.8,88.5,0.964,4–1,4,5,51,46.7,39.9,36.6,14.3,15.8,29.1,20.7,71.1,48.7,55.6,36.6,23.6,11.3,9,57.9,52.1,37.2,44.3,69.9,78.039,81.913,1.752,"2,025",0,0,74.743,,68.3,77.1,1.094,0.982,47.559,Michigan St.
10,Texas Tech,136.3,102.5,0.964,4–1,4,5,54.8,50.7,28.8,34.8,9.2,11.9,30.4,29.6,65.3,50,54.8,39.2,26.6,9.6,9.2,58.7,36.3,54.6,27.5,64.8,76.407,79.854,1.972,"2,025",0,0,36.947,,74.4,74,1.255,1.117,49.541,Texas Tech
