Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Duke,134.5,89.3,0.991,7–0,7,7,53.9,46.4,37.9,28.4,14.7,15.8,42.3,22.8,65.1,53.9,48.7,36,29.3,8.1,15.1,61.6,48.7,47.7,49.2,65.5,79.384,81.378,0.856,"2,026",0,0,91.161,,76.1,74.5,1.257,0.97,46.203,Duke
2,Arizona,132.8,93.7,0.982,7–0,7,7,55.1,45.9,46.3,23.1,14.8,13.5,35.6,30,67.8,53.9,44.8,38.7,31.7,9.7,7,54.1,46.6,28.1,37.4,68,79.009,81.866,1.406,"2,026",0,0,73.506,,76.5,78.6,1.212,1.033,55.063,Arizona
3,Iowa St.,122,89.1,0.974,4–3,4,7,51.6,52.8,29.1,32.2,13.8,24.6,32.7,25.9,67.4,50.4,54.8,35.6,33.6,7,11.7,53.4,58.1,41.3,43.3,66.6,78.06,81.398,1.944,"2,026",0,0,50.469,,68.5,75.2,1.138,0.966,52.112,Iowa St.
4,Florida,130.1,96.8,0.968,5–1,5,6,55.6,48.1,39.9,34.3,15.9,14.7,45.5,27.8,71.5,56.9,46.5,35.1,34.5,13.8,5.6,52.6,45.9,29.9,31.9,69.9,78.89,83.084,1.928,"2,026",0,0,41.689,,71.1,73.4,1.24,1.056,48.111,Florida
5,Michigan,124.7,93.5,0.965,6–1,6,7,55.9,49.9,29.3,22.5,17.7,11.4,31.7,23.2,66.3,55.7,49.2,37.4,33.9,14.6,10.5,55.3,56.1,39.5,43.3,68.5,78.647,82.701,1.947,"2,026",0,0,69.852,,82.6,78.9,1.148,1.07,59.104,Michigan
6,Wisconsin,133.6,100.4,0.964,5–2,5,7,55.3,51.9,22.7,25.7,11.2,13.1,28.6,33.5,66.2,51.1,53.4,38.7,33.1,6.8,19.7,60.3,55.6,59.9,39.4,66.8,78.87,82.484,1.871,"2,026",0,0,38.623,,85.1,72.3,1.222,1.131,53.088,Wisconsin
7,Oklahoma,131.1,98.6,0.964,6–1,6,7,58.1,48.8,38.8,35.1,13.8,17,33.3,34.9,66.2,55.9,47.9,41.1,33.3,12.3,8.9,49.8,50.6,39,42.9,65.6,77.375,81.446,2.25,"2,026",0,0,54.225,,75.8,76.6,1.251,1.09,38.869,Oklahoma
8,UCLA,134,101,0.963,5–2,5,7,56.5,50.8,24.6,28.3,11.1,16.2,31,31.5,62.8,54.8,49.1,39.4,35.3,6.3,10.8,68.5,76.8,39,42.9,63.3,77.997,81.299,2.244,"2,026",0,0,70.281,,77.2,73.6,1.231,1.083,43.942,UCLA
9,Purdue,139.7,105.7,0.961,5–3,5,8,56.8,57.1,26,27.4,13.1,12.3,38.8,27.9,61.2,56.9,56.6,37.7,38.5,8.4,6,72.7,60.2,42.7,42.2,61.8,77.603,82.136,2.015,"2,026",0,0,59.3,,74.4,78.8,1.265,1.196,54.496,Purdue
10,Houston,122.2,92.5,0.961,5–2,5,7,52.3,46.9,28.2,35.4,13.9,19.6,32.8,30.2,65.8,48.5,43.5,39.3,35.3,11,6.3,46.6,51.3,35.5,37,64.1,77.851,80.772,1.553,"2,026",0,0,81.968,,77.3,82,1.158,1.004,48.6,Houston
11,Ohio St.,132,100.1,0.96,4–2,4,6,61.5,55.6,44.1,38.1,15.9,14.3,25,20.1,62.9,57.8,56.7,44.2,36.1,6.1,5.4,52.3,59.6,43.7,40.4,64.3,77.666,81.619,1.779,"2,026",0,0,68.946,,76.9,80,1.226,1.133,52.859,Ohio St.
12,St. John's,118.7,90.5,0.958,6–1,6,7,48.3,46.1,35.1,29.9,13.9,17.7,33.6,28.5,67,50.4,49.6,29.6,25.8,13.1,10.2,65.6,49.7,34.1,31.8,68.4,78.154,80.478,2.3,"2,026",0,0,70.084,,72.6,70,1.083,0.97,42.605,St. John's
13,Saint Mary's,125,96.1,0.954,2–1,2,3,51.6,49.7,23.8,22,15.2,12,42.5,21.3,63.7,43.4,46.8,41.8,36.4,9.9,10.4,58.2,42.1,42.7,37.3,62.1,78.715,82.369,1.349,"2,026",0,0,36.989,,81.8,66.7,1.187,1.056,44.896,Saint Mary's
14,Virginia,123.8,95.3,0.953,5–2,5,7,53.7,45.8,28,28.1,16.3,13.5,31.3,31.6,65.7,53.8,42.8,35.8,33.1,23.9,11.4,57.7,55.5,47.9,42.7,65.5,78.069,82.109,1.724,"2,026",0,0,53.814,,83.2,85.7,1.145,1.065,47.901,Virginia
15,Connecticut,120,93.2,0.948,4–2,4,6,50.9,45.5,26.2,36.3,19.7,17.3,41.4,29.4,62.5,56.7,45,28.8,30.9,14.1,12.4,67.8,53.2,42.9,39.2,61.7,78.303,81.367,1.997,"2,026",0,0,84.266,,79.8,70.2,1.111,0.975,36.386,Connecticut
16,Vanderbilt,134.9,104.9,0.948,5–2,5,7,52.4,53.9,38.1,42.1,12.5,16.6,31.7,38.5,67.4,54.5,50.2,32.7,40.4,6.8,9,55.2,51.8,39.7,35.7,66.6,77.259,79.921,2.308,"2,026",0,0,35.964,,85.7,73.3,1.209,1.18,59.625,Vanderbilt
17,Gonzaga,117.2,91.9,0.943,3–1,3,4,55.1,42.9,26.2,19.2,15.3,19.2,28.6,35,63.7,57.1,39.4,34.8,31.3,12.6,6.8,73.1,51.8,40.9,46.9,64.1,77.91,80.557,2.11,"2,026",0,0,36.781,,74.6,80.4,1.145,0.949,32.933,Gonzaga
18,Michigan St.,134.7,106.2,0.939,3–2,3,5,56.5,57.7,37.4,31,14.7,12.6,35.5,25.7,66.5,54.2,51.9,40.6,43.3,10,8.9,62.7,57.2,33.6,44.3,67.2,78.478,81.667,1.815,"2,026",0,0,68.794,,79.4,80.9,1.227,1.212,59.809,Michigan St.
19,Arkansas,127.8,101.5,0.934,6–1,6,7,54.4,53.8,38.6,33.9,12.2,14.3,31.3,28.8,73.5,50.2,55,43.4,34.2,10,6.4,50.2,46.2,28.2,31.9,72.7,78.516,81.43,1.457,"2,026",0,0,80.525,,74.6,74.8,1.186,1.144,48.169,Arkansas
20,Texas Tech,131.3,104.9,0.93,2–3,2,5,58.1,50.5,21,28.7,19.4,11.1,30.7,36.8,63,55.7,51.5,40,32.4,9.2,5.7,55.5,40.9,55.1,36.2,62.6,77.015,79.481,1.601,"2,026",0,0,41.675,,70.2,69.3,1.13,1.178,55.805,Texas Tech
21,Alabama,128.5,102.8,0.929,3–2,3,5,54.9,51.9,31.2,20.8,12.8,15.1,33.2,35.4,71.7,55,49.8,36.6,36.9,7.6,14.8,47.9,47.1,54,38.1,70.9,77.921,81.103,1.526,"2,026",0,0,73.555,,77.2,73.2,1.211,1.133,40.674,Alabama
22,Illinois,126.3,101.1,0.928,2–2,2,4,51.2,49.8,25.9,29,10.7,12.2,33.1,29.6,65.7,59.7,60.2,27.5,26.2,8.9,10.1,44.8,47.2,46.3,49.8,65.1,79.989,83.215,1.548,"2,026",0,0,63.056,,76.1,80.3,1.165,1.11,43.754,Illinois
23,Florida St.,131,104.9,0.928,4–2,4,6,59.4,52.8,33.1,31.7,14.6,18.7,27.9,42.9,68.6,60.9,51.8,38.6,36,12.7,12.3,51.4,54.2,48.9,47.5,68.6,78.314,80.757,2.124,"2,026",0,0,26.706,,66.4,66.4,1.197,1.153,36.615,Florida St.
24,Baylor,137.2,110.2,0.926,2–3,2,5,54.8,59.7,28.1,32,13.9,16,40.2,33.8,66.2,58.2,58.7,33.1,41,4.3,10.1,56,50.3,39,35.2,66,77.284,79.765,1.846,"2,026",0,0,49.103,,79.3,75.8,1.243,1.233,49.314,Baylor
25,South Florida,115.1,92.7,0.923,6–0,6,6,50,44.5,32,37.5,13.5,22,38.3,30.5,70.5,50.4,46.6,32.9,27.9,7.4,10.9,61,53.5,42.5,43.8,72,77.061,79.722,2.247,"2,026",0,0,30.828,,78.1,69,1.183,0.913,12.855,South Florida
26,TCU,123.5,99.5,0.923,5–1,5,6,50.3,52,38.2,28.7,12.9,19.9,37.1,29.2,69.7,51.5,55.1,32.1,31.7,10.1,11,58.1,59.7,37.1,40.7,67.7,76.426,79.205,1.807,"2,026",0,0,50.351,,70.8,77,1.151,1.053,40.684,TCU
27,Cincinnati,115.8,93.7,0.92,3–3,3,6,52.5,46.2,24.8,33.1,15.4,15.9,30.2,29.6,66.9,46.1,48.4,40.4,28.4,11.6,6.3,64.4,53.1,43.9,37.3,65.7,78.514,83.303,2.004,"2,026",0,0,61.916,,71.4,74.8,1.098,1.027,37.542,Cincinnati
28,Miami FL,125.6,102.2,0.915,4–2,4,6,54.9,55.3,35.5,26.2,17,18.5,35.9,30.3,66.7,52.8,58.9,39.6,33.8,13,12.4,53.3,54,32.3,43.5,65.7,78.417,81.492,1.67,"2,026",0,0,80.783,,71.3,75.3,1.162,1.112,47.832,Miami FL
29,Tennessee,119.1,97,0.914,2–4,2,6,46.9,49.1,29.2,40.5,13.6,15.7,45.5,30.2,64.9,49.8,50.5,26.4,31.3,12.9,7.2,53.9,40,28.4,40.9,63.9,78.434,82.266,1.473,"2,026",0,0,59.748,,66.4,78.2,1.125,1.094,48.057,Tennessee
30,Louisville,123.1,100.5,0.912,3–3,3,6,54.2,54.4,25.8,37.8,15.1,14.8,30.2,26.5,66.4,58.1,55.7,33.7,34.7,9.5,15.7,51.9,47.8,51.7,36.6,66.5,78.246,81.646,2.208,"2,026",0,0,39.12,,70.7,67.2,1.137,1.114,48.47,Louisville
31,Kentucky,120.3,98.5,0.909,4–3,4,7,51.3,51.5,37.3,42.6,14.8,16.4,30.6,30.3,71.3,53.8,54.1,31.5,31.4,9.4,8.8,58.3,49.7,38.2,38,70.1,78.765,81.87,1.581,"2,026",0,0,85.092,,74.7,69.7,1.108,1.092,50.826,Kentucky
32,Mississippi,116.8,96,0.905,4–4,4,8,52,49.1,32,41.7,13.6,14.2,26.5,32.4,69.4,52.5,49.8,33.8,32.1,12.4,7.8,45.2,53.5,29.7,42.1,67.8,77.807,80.527,1.957,"2,026",0,0,47.436,,76.1,73.3,1.108,1.099,42.807,Mississippi
33,VCU,120.9,99.5,0.904,6–0,6,6,53.3,47.5,34.1,24.4,12,16.7,25.9,28.4,64,50,48.8,38.8,30.5,8.9,9.5,49.3,60.6,40.1,41,64.9,77.713,80.893,1.703,"2,026",0,0,21.117,,71.9,65.5,1.141,0.995,18.383,VCU
34,Iowa,122.1,100.5,0.904,2–4,2,6,55.9,59,28.7,45.2,15.7,21.2,25.4,24.7,62.2,58.9,57.1,34.9,41.3,3.5,6.9,64.3,55.6,45.5,39.1,62.2,78.486,80.798,1.776,"2,026",0,0,14.299,,77.2,71.4,1.128,1.099,46.881,Iowa
35,Clemson,120.7,99.4,0.903,4–2,4,6,50.4,53.7,37.5,29.9,11.4,17,23.8,28.6,65.6,48.7,52.2,35.2,36.9,12.4,8.1,48.6,47.7,41.9,46.9,64.5,77.953,81.538,2.344,"2,026",0,0,43.89,,72.4,72,1.103,1.098,47.193,Clemson
36,Grand Canyon,118.2,98.3,0.893,3–2,3,5,58.4,48.9,43.7,51,16.8,15.1,26.2,17.5,69,57.9,47.4,39.4,34.4,11.7,7.5,54.8,49.1,40.7,34.5,68.8,78.534,82.197,2.319,"2,026",0,0,43.854,,74.4,67.7,1.16,1,22.014,Grand Canyon
37,Missouri,118.9,98.9,0.893,2–3,2,5,53.5,56.5,38.5,32.5,18.6,19.8,33.3,32.7,66.9,55.6,56.9,33,37.3,8.3,14.8,38.2,50.4,33.2,36,66.3,79.275,82.794,2.282,"2,026",0,0,66.401,,71.6,64.1,1.11,1.104,46.37,Missouri
