,team,pwr_rat
0,Houston,90.25688729110938
6,Gonzaga,87.9900844536538
5,Purdue,87.14921082203637
2,UCLA,86.87818814248295
1,Alabama,84.58495280175383
12,Marquette,82.37370519763839
3,Tennessee,82.1998248499787
14,Creighton,81.29034048942461
9,Arizona,81.28336840926455
7,Texas,81.03567606905104
8,Saint Mary's,80.89446212878286
208,San Diego,80.72285907277418
10,San Diego St.,80.72285907277418
4,Connecticut,79.83190080400115
11,Kansas,78.77924047902674
119,Penn,78.44276074047517
41,Penn St.,78.44276074047517
13,Baylor,77.93850854003006
69,Oral Roberts,77.0715198348322
20,Duke,76.80753219302782
27,Maryland,76.16759432704556
25,TCU,76.11284846561206
73,Florida,75.72221735755657
29,Florida Atlantic,75.72221735755657
21,Xavier,75.5573079514461
48,North Carolina St.,75.51247012772063
37,Miami FL,75.4302116044776
15,Memphis,75.37935180267061
38,Cincinnati,75.36982026688065
30,Boise St.,75.0674010172675
39,North Carolina,75.06422493328978
45,Drake,75.06116336470758
28,Michigan St.,75.04804938271556
46,Michigan,75.04804938271556
24,Utah St.,74.86181619192105
66,Utah,74.86181619192105
26,Kentucky,73.9417631845172
16,Texas A&M,73.76829083919522
34,Northwestern,73.71363808852905
17,Arkansas,73.39946076384598
32,Indiana,73.33197445906671
22,Auburn,73.31290472934573
136,Ohio,73.18755647920271
51,Ohio St.,73.18755647920271
53,New Mexico,72.9876458888641
43,Liberty,72.88307089385675
74,Wisconsin,72.53465971204544
70,Iona,72.44505822624576
35,Rutgers,71.99339820731187
91,South Alabama,71.9756542513819
59,Nevada,71.94589735483532
80,Virginia Tech,71.84777171571129
86,Toledo,71.8446671505937
71,College of Charleston,71.79591355064123
18,West Virginia,71.70729741528181
31,Virginia,71.70729741528181
64,Villanova,71.60951497897008
82,Hofstra,71.20983091564392
58,Providence,71.02991414403469
56,Clemson,70.78811693291071
42,Oregon,70.27387666783018
55,Missouri,70.22333288385569
23,Kansas St.,69.98834227179994
65,Dayton,69.86858541928906
77,Vanderbilt,69.54946431938274
40,USC,69.49072992530603
90,Marshall,69.39221112137979
44,Illinois,69.18279691316638
98,Vermont,69.01162662310014
54,UAB,68.84423859197057
108,Colgate,68.52633354661064
50,Washington St.,68.2890322574152
